날짜,평일/주말,평군온도,풍속,풍향,강수량,미세먼지농도,초미세먼지농도,이용건수
2021-01-01,1,-4.2,0.6,50,0,23,15,1545
2021-01-02,1,-5,1.2,290,0,26,11,1672
2021-01-03,1,-5.6,1.7,270,0,30,12,1530
2021-01-04,0,-3.5,1.9,320,0,32,19,2545
2021-01-05,0,-5.5,1.1,70,0,25,14,2364
2021-01-06,0,-7.4,3.1,70,0.013,20,11,1820
2021-01-07,0,-14.5,4,70,0,23,9,445
2021-01-08,0,-14.9,3.3,270,0,17,9,669
2021-01-09,1,-12.2,2.3,320,0,21,13,624
2021-01-10,1,-7.7,1.5,320,0,27,19,762
2021-01-11,0,-6.7,1.9,340,0,43,32,1622
2021-01-12,0,-3.9,2.4,290,0,54,45,1084
2021-01-13,0,2,2.3,320,0,88,40,1664
2021-01-14,0,1.7,1.6,320,0,68,28,2693
2021-01-15,0,4.5,1.9,320,0,64,30,2754
2021-01-16,1,-4.9,1.6,340,0,47,34,1565
2021-01-17,1,-5.5,1.5,320,0,18,12,1276
2021-01-18,0,-3.8,1.8,270,0,32,17,1448
2021-01-19,0,-6.3,2.2,320,0,25,11,2218
2021-01-20,0,-0.1,2.5,270,0.06,30,19,2981
2021-01-21,0,4.5,1.4,320,0,46,33,1389
2021-01-22,0,5.5,1.7,90,0,42,36,2796
2021-01-23,1,7.6,2,320,0,14,10,3259
2021-01-24,1,7.3,1.7,320,0,12,8,4126
2021-01-25,0,7.9,1.5,320,0.009,28,19,4609
2021-01-26,0,5.3,2.7,70,0,46,35,2129
2021-01-27,0,1.7,4.6,70,0.009,34,17,3695
2021-01-28,0,-2.6,2.6,70,0,28,15,1859
2021-01-29,0,-8.8,2.1,70,0,19,8,2023
2021-01-30,1,-1.6,1.8,320,0,44,23,2128
2021-01-31,1,3.2,2.3,270,0.003,51,28,3016
2021-02-01,0,5,1.7,270,0,58,34,3265
2021-02-02,0,-5.6,1.8,320,0,27,15,2517
2021-02-03,0,-3.2,3.1,270,0,30,18,2548
2021-02-04,0,-3.6,2.8,340,0,22,14,1714
2021-02-05,0,1.4,3.3,320,0,23,13,3066
2021-02-06,1,6.8,1.9,290,0,59,39,3064
2021-02-07,1,3.6,2,320,0,74,50,2675
2021-02-08,0,-3.1,3,340,0,23,14,2650
2021-02-09,0,-0.9,2,270,0,21,13,3401
2021-02-10,0,3.4,1.7,320,0,30,21,3749
2021-02-11,1,5.5,1.6,70,0,66,53,2843
2021-02-12,1,6.5,2.2,70,0,86,72,2877
2021-02-13,1,7.6,1.7,200,0,99,85,4146
2021-02-14,1,9.5,1.2,200,0.003,90,76,3584
2021-02-15,0,1.2,2.7,70,0,49,38,2578
2021-02-16,0,-5.1,4,270,0,20,11,1901
2021-02-17,0,-8.3,3.4,320,0,29,9,1910
2021-02-18,0,-5.8,2.3,290,0,35,12,2497
2021-02-19,0,1.6,1.5,270,0,37,21,3694
2021-02-20,1,8.8,1.7,290,0,64,37,4922
2021-02-21,1,10.8,2.2,250,0,68,44,6372
2021-02-22,0,7.8,4,320,0,46,24,4690
2021-02-23,0,0,2,270,0,42,13,3668
2021-02-24,0,2.9,1.6,230,0,43,19,4539
2021-02-25,0,4.2,4.2,70,0,46,29,4496
2021-02-26,0,8.2,2.1,340,0,38,23,6049
2021-02-27,1,9.5,2,250,0,17,9,7146
2021-02-28,1,7.8,1.4,230,0.424,22,12,5938
2021-03-01,1,4.7,1.7,270,0.003,17,10,188
2021-03-02,0,2.3,2,270,0,8,4,4469
2021-03-03,0,4.4,2.7,290,0,36,23,5261
2021-03-04,0,7.2,2.6,320,0,41,27,5513
2021-03-05,0,9,3.7,270,0,35,22,6756
2021-03-06,1,6.6,2.5,270,0,28,18,5095
2021-03-07,1,6.2,1.6,200,0,11,12,6520
2021-03-08,0,7,2,270,0,46,27,6333
2021-03-09,0,6.6,1.6,270,0,48,33,6385
2021-03-10,0,8.8,1.8,320,0,92,75,6555
2021-03-11,0,10.2,2.8,290,0,116,99,6271
2021-03-12,0,10.5,3.3,320,0,68,54,5809
2021-03-13,1,9.2,2.5,230,0,49,36,6567
2021-03-14,1,9.1,3.3,340,0.003,74,63,6430
2021-03-15,0,10.6,3,230,0.006,81,70,6321
2021-03-16,0,8.4,3.6,320,0,81,15,6033
2021-03-17,0,8.8,2.8,250,0,82,16,6849
2021-03-18,0,11.7,2.1,230,0,90,42,6813
2021-03-19,0,15.3,1.8,230,0.028,76,37,8323
2021-03-20,1,9.9,4.8,250,0.003,28,14,1688
2021-03-21,1,5.8,3.1,270,0,40,33,4558
2021-03-22,0,6.2,2,290,0,33,15,6122
2021-03-23,0,9.1,3,320,0,69,28,6896
2021-03-24,0,10.8,1.9,270,0,50,23,7399
2021-03-25,0,11.9,1.8,200,0,48,24,7550
2021-03-26,0,12.6,1.9,320,0.146,105,76,7597
2021-03-27,1,12.1,1.9,160,0.044,67,45,1326
2021-03-28,1,9,3.3,320,0.003,16,12,2483
2021-03-29,0,10.2,3.2,340,0,256,49,6127
2021-03-30,0,10.8,2,290,0,139,30,8141
2021-03-31,0,14.5,1.8,270,0,39,17,9291
2021-04-01,0,17.7,2,290,0,41,14,9587
2021-04-02,0,17.8,3.7,270,0.342,44,13,9031
2021-04-03,1,14.9,2.3,270,0.003,33,14,968
2021-04-04,1,11.9,2.7,270,0,10,5,7958
2021-04-05,0,11.9,3.4,290,0,20,10,9239
2021-04-06,0,13.9,2.8,230,0,38,24,9353
2021-04-07,0,14.1,2.4,270,0,53,36,9059
2021-04-08,0,13,2.5,270,0,30,14,8320
2021-04-09,0,13.6,3.5,340,0,29,15,8951
2021-04-10,1,12.6,2.8,250,0,29,17,9201
2021-04-11,1,15,2.4,290,0.12,39,22,9747
2021-04-12,0,13.8,2.5,270,0.035,35,20,2176
2021-04-13,0,10.4,3.8,90,0,12,7,6783
2021-04-14,0,8.4,3.1,50,0,23,12,7920
2021-04-15,0,11.6,2.4,270,0.003,38,19,8759
2021-04-16,0,11.3,2.2,290,0,66,16,6306
2021-04-17,1,9.6,2.3,320,0,76,15,5483
2021-04-18,1,9.9,2.4,140,0,27,11,8148
2021-04-19,0,12.2,2.6,270,0,41,19,8902
2021-04-20,0,14.8,2.7,90,0,55,29,9166
2021-04-21,0,19.1,3.3,270,0,70,37,9554
2021-04-22,0,20.9,4.4,290,0,64,36,9091
2021-04-23,0,19,4,290,0,40,22,9084
2021-04-24,1,18.3,3.7,250,0,21,10,9687
2021-04-25,1,18.2,3.9,270,0,22,11,11485
2021-04-26,0,16.2,3.9,250,0.019,25,12,10476
2021-04-27,0,15.4,3.2,290,0.013,26,13,8287
2021-04-28,0,14.5,2.8,290,0.028,56,23,9234
2021-04-29,0,14.6,3,230,0.149,65,22,7934
2021-04-30,0,11.3,2.6,320,0.013,18,8,5798
2021-05-01,1,10.2,2.7,290,0.013,21,11,3339
2021-05-02,1,12.4,2.7,290,0,14,6,9663
2021-05-03,0,14.1,2.3,230,0.139,28,16,9974
2021-05-04,0,13.8,2,160,0.003,31,16,1656
2021-05-05,1,13.9,2.7,270,0,40,9,10769
2021-05-06,0,15.7,1.9,250,0.051,63,15,9993
2021-05-07,0,14.4,2.1,320,0,356,57,6757
2021-05-08,1,14.3,2.5,90,0,381,60,5294
2021-05-09,1,15.7,2.4,290,0,42,8,9400
2021-05-10,0,13.2,3.6,90,0,21,10,7136
2021-05-11,0,18.5,2.5,250,0,18,9,10379
2021-05-12,0,22,3,290,0,22,11,10202
2021-05-13,0,22.9,2.9,320,0,44,25,9819
2021-05-14,0,24.1,2.8,290,0.092,55,34,9894
2021-05-15,1,22.1,2,340,0.345,53,36,2450
2021-05-16,1,18.4,3,180,0.025,8,4,153
2021-05-17,0,15.3,1.6,90,0,16,5,3913
2021-05-18,0,17.9,1.7,320,0,29,17,9280
2021-05-19,1,19.9,2.4,290,0.009,32,19,10320
2021-05-20,0,18.7,3.2,70,0.076,25,13,4992
2021-05-21,0,16,1.9,90,0,14,7,6339
2021-05-22,1,18.6,2.1,90,0,24,14,10257
2021-05-23,1,19.5,1.9,290,0,32,23,9000
2021-05-24,0,19.4,2.2,270,0.044,112,28,9712
2021-05-25,0,15.3,2.9,270,0,94,24,6638
2021-05-26,0,18,2.1,290,0.051,44,16,8979
2021-05-27,0,15.8,2.1,320,0.089,40,19,4988
2021-05-28,0,15.3,2.6,290,0,36,22,5022
2021-05-29,1,15.4,1.9,290,0.114,22,12,4410
2021-05-30,1,18.4,2,180,0.009,27,13,7035
2021-05-31,0,19.9,1.9,320,0.006,34,20,7921
2021-06-01,0,20.2,2.3,320,0,37,22,8315
2021-06-02,0,23.2,3.4,290,0.13,47,30,9114
