대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2023-01-01,1,-0.2,2.7,270,0,66,40,4289
2023-01-02,0,-4.5,2.5,270,0,31,11,7636
2023-01-03,0,-5,1.8,270,0,37,16,8307
2023-01-04,0,-1.8,1.9,270,0,47,25,9165
2023-01-05,0,-1.6,1.6,20,0,64,37,9172
2023-01-06,0,0.6,2.2,20,0.017,89,63,8088
2023-01-07,1,1.5,2.2,270,0,132,89,5735
2023-01-08,1,1.3,1.7,50,0,161,50,5294
2023-01-09,0,3.1,2.3,290,0,117,41,9399
2023-01-10,0,1.6,1.5,50,0,68,30,10029
2023-01-11,0,2.6,1.6,50,0,88,49,10160
2023-01-12,0,5.9,2.2,70,0,73,44,10841
2023-01-13,0,8.3,2.5,70,0.179,24,12,3170
2023-01-14,1,6.6,2.5,50,0.014,16,7,2857
2023-01-15,1,-0.2,2.8,270,0.009,18,10,2475
2023-01-16,0,-4.6,2.7,270,0,27,10,8022
2023-01-17,0,-3.7,1.8,50,0,42,18,8858
2023-01-18,0,-1.9,2,290,0,70,26,9155
2023-01-19,0,-0.4,2.5,180,0.009,72,24,8977
2023-01-20,0,-3.3,3.7,270,0,81,16,6743
2023-01-21,1,-4.5,1.8,50,0,31,9,3289
2023-01-22,1,-0.6,2.6,50,0,33,11,2453
2023-01-23,1,-0.8,2.7,290,0,65,29,3149
2023-01-24,1,-14.7,4.6,290,0,34,9,1796
2023-01-25,0,-11.3,2.1,290,0,27,7,5218
2023-01-26,0,-6,2.5,50,0,37,20,3443
2023-01-27,0,-7.3,3.5,290,0,46,19,5362
2023-01-28,1,-6,2.4,250,0,41,10,4308
2023-01-29,1,-1.8,2.6,50,0,50,13,4256
2023-01-30,0,-0.9,2.1,270,0,52,17,8369
2023-01-31,0,2.4,2.7,50,0,39,13,9264
2023-02-01,0,0.9,3.2,290,0,65,29,9082
2023-02-02,0,-2.4,2.5,270,0,50,15,8886
2023-02-03,0,-1.6,2.2,270,0,47,18,9045
2023-02-04,1,-0.2,2,270,0,45,25,6373
2023-02-05,1,1.7,1.8,250,0,73,49,5662
2023-02-06,0,3,1.6,50,0,80,53,9733
2023-02-07,0,3.5,1.5,250,0,85,59,10400
2023-02-08,0,2.1,2.5,270,0,78,50,10732
2023-02-09,0,4,2.5,50,0,43,25,10748
2023-02-10,0,3.8,2.2,290,0,24,17,8314
2023-02-11,1,2.8,1.8,20,0,51,36,7495
2023-02-12,1,3.7,1.8,50,0,74,56,6190
2023-02-13,0,5.9,2.3,50,0,42,27,10996
2023-02-14,0,1.7,2.7,270,0,46,24,10364
2023-02-15,0,3.2,2.5,50,0,25,10,11154
2023-02-16,0,2.3,2.7,230,0,38,19,10702
2023-02-17,0,3.4,1.8,20,0,48,27,10980
2023-02-18,1,5.7,1.5,50,0,92,64,7727
2023-02-19,1,3.5,3.3,270,0,55,36,5945
2023-02-20,0,-0.5,3.3,270,0,47,10,9225
2023-02-21,0,-1.3,2.1,270,0,38,16,9960
2023-02-22,0,1.2,2.2,270,0,53,28,10817
2023-02-23,0,2.9,1.9,270,0,46,23,11137
2023-02-24,0,3.5,3,290,0,61,33,10733
2023-02-25,1,0.7,2.9,290,0,44,19,7159
2023-02-26,1,2.2,2.1,290,0,43,21,6652
2023-02-27,0,4.4,1.9,20,0,59,34,11337
2023-02-28,0,4.3,2,270,0,49,29,11707
2023-03-01,1,6,3.1,270,0,44,21,7904
2023-03-02,0,2.2,2.8,250,0,62,11,11398
2023-03-03,0,4.6,2.1,270,0,44,13,12571
2023-03-04,1,7.7,1.9,50,0,80,43,9792
2023-03-05,1,8,1.7,270,0,82,53,8733
2023-03-06,0,9.2,2.1,20,0,69,38,13445
2023-03-07,0,11.7,2.3,50,0,67,31,14636
2023-03-08,0,12.5,2,20,0.02,71,29,13922
2023-03-09,0,10.3,2.3,230,0.014,63,39,12638
2023-03-10,0,13.5,2.1,50,0,94,47,15055
