조사년월일,측정지역,일일강수량
20230929,강서구,0
20230928,강서구,0
20230927,강서구,0.026
20230926,강서구,0.104
20230925,강서구,0.012
20230924,강서구,0
20230923,강서구,0
20230922,강서구,0
20230921,강서구,0
20230919,강서구,0
20230918,강서구,0
20230917,강서구,0.006
20230916,강서구,0.104
20230915,강서구,0.006
20230914,강서구,0
20230913,강서구,0.072
20230912,강서구,0
20230911,강서구,0
20230910,강서구,0
20230909,강서구,0
20230908,강서구,0
20230907,강서구,0
20230906,강서구,0
20230905,강서구,0
20230904,강서구,0.052
20230903,강서구,0
20230902,강서구,0
20230901,강서구,0
20230831,강서구,0
20230830,강서구,0
20230829,강서구,0.245
20230828,강서구,0.147
20230827,강서구,0
20230826,강서구,0
20230825,강서구,0
20230824,강서구,0.086
20230823,강서구,0.337
20230822,강서구,0.04
20230821,강서구,0
20230820,강서구,0
20230819,강서구,0
20230818,강서구,0
20230817,강서구,0
20230816,강서구,0
20230815,강서구,0
20230814,강서구,0
20230813,강서구,0
20230812,강서구,0.023
20230811,강서구,0.127
20230810,강서구,0.47
20230809,강서구,0
20230808,강서구,0
20230807,강서구,0
20230806,강서구,0
20230805,강서구,0
20230804,강서구,0
20230803,강서구,0
20230802,강서구,0
20230801,강서구,0
20230731,강서구,0
20230730,강서구,0.055
20230729,강서구,0
20230728,강서구,0
20230727,강서구,0
20230726,강서구,0
20230725,강서구,0
20230724,강서구,0
20230723,강서구,0.228
20230722,강서구,0.072
20230721,강서구,0
20230720,강서구,0
20230719,강서구,0
20230718,강서구,0.014
20230717,강서구,0
20230716,강서구,0.032
20230715,강서구,0.02
20230714,강서구,0.303
20230713,강서구,0.447
20230712,강서구,0.003
20230711,강서구,0.441
20230710,강서구,0.012
20230709,강서구,0.055
20230708,강서구,0
20230707,강서구,0
20230706,강서구,0
20230705,강서구,0.069
20230704,강서구,0.337
20230702,강서구,0
20230701,강서구,0
20230630,강서구,0.003
20230629,강서구,0.245
20230628,강서구,0
20230626,강서구,0.081
20230625,강서구,0
20230624,강서구,0
20230623,강서구,0
20230622,강서구,0
20230621,강서구,0.161
20230620,강서구,0.046
20230619,강서구,0
20230618,강서구,0
20230617,강서구,0
20230616,강서구,0
20230615,강서구,0
20230614,강서구,0.035
20230613,강서구,0
20230611,강서구,0.089
20230610,강서구,0.061
20230609,강서구,0.003
20230608,강서구,0.046
20230607,강서구,0
20230606,강서구,0
20230605,강서구,0
20230604,강서구,0
20230603,강서구,0
20230602,강서구,0
20230601,강서구,0
20230531,강서구,0
20230530,강서구,0
20230529,강서구,0.012
20230528,강서구,0.225
20230527,강서구,0.196
20230526,강서구,0.003
20230525,강서구,0
20230524,강서구,0
20230523,강서구,0
20230522,강서구,0
20230521,강서구,0
20230520,강서구,0
20230519,강서구,0
20230518,강서구,0
20230517,강서구,0
20230516,강서구,0
20230515,강서구,0
20230514,강서구,0
20230513,강서구,0
20230512,강서구,0
20230511,강서구,0
20230510,강서구,0
20230509,강서구,0
20230508,강서구,0
20230507,강서구,0
20230506,강서구,0.21
20230505,강서구,0.098
20230504,강서구,0
20230503,강서구,0
20230502,강서구,0
20230501,강서구,0
20230430,강서구,0
20230429,강서구,0.072
20230428,강서구,0.014
20230427,강서구,0
20230426,강서구,0
20230425,강서구,0
20230424,강서구,0
20230423,강서구,0
20230422,강서구,0
20230421,강서구,0
20230420,강서구,0
20230419,강서구,0
20230418,강서구,0.009
20230417,강서구,0
20230416,강서구,0
20230415,강서구,0.017
20230414,강서구,0
20230413,강서구,0
20230412,강서구,0
20230411,강서구,0.014
20230410,강서구,0
20230409,강서구,0
20230408,강서구,0
20230407,강서구,0
20230406,강서구,0.014
20230405,강서구,0.297
20230404,강서구,0.046
20230403,강서구,0
20230402,강서구,0
20230401,강서구,0
20230331,강서구,0
20230330,강서구,0
20230329,강서구,0
20230328,강서구,0
20230327,강서구,0
20230326,강서구,0
20230325,강서구,0
20230324,강서구,0
20230323,강서구,0
20230322,강서구,0
20230321,강서구,0
20230320,강서구,0
20230319,강서구,0
20230318,강서구,0
20230317,강서구,0
20230316,강서구,0
20230315,강서구,0
20230314,강서구,0
20230313,강서구,0
20230312,강서구,0.029
20230311,강서구,0
20230310,강서구,0
20230309,강서구,0.014
20230308,강서구,0.02
20230307,강서구,0
20230306,강서구,0
20230305,강서구,0
20230304,강서구,0
20230303,강서구,0
20230302,강서구,0
20230301,강서구,0
20230228,강서구,0
20230227,강서구,0
20230226,강서구,0
20230225,강서구,0
20230224,강서구,0
20230223,강서구,0
20230222,강서구,0
20230221,강서구,0
20230220,강서구,0
20230219,강서구,0
20230218,강서구,0
20230217,강서구,0
20230216,강서구,0
20230215,강서구,0
20230214,강서구,0
20230213,강서구,0
20230212,강서구,0
20230211,강서구,0
20230210,강서구,0
20230209,강서구,0
20230208,강서구,0
20230207,강서구,0
20230206,강서구,0
20230205,강서구,0
20230204,강서구,0
20230203,강서구,0
20230202,강서구,0
20230201,강서구,0
20230131,강서구,0
20230130,강서구,0
20230129,강서구,0
20230128,강서구,0
20230127,강서구,0
20230126,강서구,0
20230125,강서구,0
20230124,강서구,0
20230123,강서구,0
20230122,강서구,0
20230121,강서구,0
20230120,강서구,0
20230119,강서구,0.009
20230118,강서구,0
20230117,강서구,0
20230116,강서구,0
20230115,강서구,0.009
20230114,강서구,0.014
20230113,강서구,0.179
20230112,강서구,0
20230111,강서구,0
20230110,강서구,0
20230109,강서구,0
20230108,강서구,0
20230107,강서구,0
20230106,강서구,0.017
20230105,강서구,0
20230104,강서구,0
20230103,강서구,0
20230102,강서구,0
20230101,강서구,0
20221231,강서구,0
20221230,강서구,0
20221229,강서구,0
20221228,강서구,0
20221227,강서구,0
20221226,강서구,0
20221225,강서구,0
20221224,강서구,0
20221223,강서구,0
20221222,강서구,0
20221221,강서구,0.014
20221219,강서구,0
20221218,강서구,0
20221217,강서구,0
20221216,강서구,0
20221215,강서구,0.006
20221214,강서구,0
20221213,강서구,0
20221212,강서구,0.012
20221211,강서구,0
20221210,강서구,0
20221209,강서구,0
20221208,강서구,0
20221207,강서구,0
20221206,강서구,0
20221205,강서구,0
20221204,강서구,0
20221203,강서구,0.003
20221202,강서구,0
20221201,강서구,0
20221130,강서구,0
20221129,강서구,0.02
20221128,강서구,0.153
20221127,강서구,0
20221126,강서구,0
20221125,강서구,0.014
20221124,강서구,0
20221123,강서구,0
20221122,강서구,0
20221121,강서구,0
20221120,강서구,0
20221119,강서구,0
20221118,강서구,0
20221117,강서구,0
20221116,강서구,0
20221115,강서구,0.009
20221114,강서구,0
20221113,강서구,0
20221112,강서구,0.251
20221111,강서구,0
20221110,강서구,0
20221109,강서구,0
20221108,강서구,0
20221107,강서구,0
20221106,강서구,0
20221105,강서구,0
20221104,강서구,0
20221103,강서구,0
20221102,강서구,0
20221101,강서구,0
20221030,강서구,0
20221029,강서구,0
20221028,강서구,0
20221027,강서구,0
20221026,강서구,0
20221025,강서구,0
20221024,강서구,0
20221023,강서구,0
20221022,강서구,0
20221021,강서구,0
20221019,강서구,0
20221018,강서구,0
20221017,강서구,0
20221016,강서구,0
20221015,강서구,0
20221014,강서구,0
20221013,강서구,0
20221012,강서구,0
20221011,강서구,0
20221010,강서구,0.003
20221009,강서구,0.098
20221008,강서구,0
20221007,강서구,0
20221006,강서구,0
20221005,강서구,0
20221004,강서구,0.046
20221003,강서구,0.602
20221002,강서구,0.095
20221001,강서구,0
20220930,강서구,0
20220929,강서구,0
20220928,강서구,0
20220927,강서구,0
20220926,강서구,0
20220925,강서구,0
20220924,강서구,0
20220923,강서구,0.017
20220922,강서구,0
20220921,강서구,0
20220920,강서구,0
20220919,강서구,0
20220918,강서구,0
20220917,강서구,0.003
20220916,강서구,0.049
20220915,강서구,0
20220914,강서구,0
20220913,강서구,0
20220912,강서구,0
20220911,강서구,0
20220910,강서구,0
20220909,강서구,0
20220908,강서구,0
20220907,강서구,0
20220906,강서구,0.104
20220905,강서구,0.631
20220904,강서구,0.138
20220903,강서구,0
20220902,강서구,0
20220901,강서구,0
20220831,강서구,0
20220829,강서구,0.012
20220828,강서구,0
20220827,강서구,0.026
20220826,강서구,0
20220825,강서구,0.009
20220824,강서구,0
20220823,강서구,0.017
20220822,강서구,0.029
20220821,강서구,0
20220820,강서구,0
20220819,강서구,0.288
20220818,강서구,0
