측정소명,측정일시,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
강서구,20231115,46,25
강서구,20231114,26,12
강서구,20231113,24,11
강서구,20231112,19,8
강서구,20231111,20,9
강서구,20231110,17,7
강서구,20231109,31,15
강서구,20231108,24,10
강서구,20231107,20,5
강서구,20231106,22,6
강서구,20231105,14,8
강서구,20231104,62,17
강서구,20231103,29,11
강서구,20231102,36,14
강서구,20231101,42,19
강서구,20231031,44,24
강서구,20231030,42,21
강서구,20231029,31,15
강서구,20231028,38,15
강서구,20231027,35,13
강서구,20231026,47,30
강서구,20231025,35,19
강서구,20231024,33,18
강서구,20231023,29,13
강서구,20231022,25,8
강서구,20231021,19,5
강서구,20231020,20,4
강서구,20231019,29,16
강서구,20231018,35,15
강서구,20231017,34,10
강서구,20231016,45,15
강서구,20231015,24,14
강서구,20231014,26,16
강서구,20231013,35,19
강서구,20231012,29,16
강서구,20231011,26,13
강서구,20231010,28,14
강서구,20231009,13,5
강서구,20231008,12,5
강서구,20231007,23,9
강서구,20231006,24,8
강서구,20231005,35,4
강서구,20231004,24,12
강서구,20231003,22,10
강서구,20231002,18,7
강서구,20231001,26,7
강서구,20230930,27,11
강서구,20230929,37,16
강서구,20230928,46,29
강서구,20230927,9,3
강서구,20230926,6,2
강서구,20230925,13,4
강서구,20230924,12,4
강서구,20230923,20,9
강서구,20230922,21,8
강서구,20230921,15,5
강서구,20230920,25,18
강서구,20230919,26,17
강서구,20230918,15,10
강서구,20230917,15,12
강서구,20230916,12,6
강서구,20230915,8,4
강서구,20230914,8,2
강서구,20230913,25,16
강서구,20230912,29,16
강서구,20230911,27,17
강서구,20230910,33,20
강서구,20230909,33,18
강서구,20230908,17,8
강서구,20230907,18,9
강서구,20230906,20,11
강서구,20230905,19,10
강서구,20230904,18,10
강서구,20230903,18,12
강서구,20230902,32,18
강서구,20230901,26,13
강서구,20230831,20,11
강서구,20230830,18,9
강서구,20230829,12,8
강서구,20230828,14,9
강서구,20230827,30,21
강서구,20230826,37,24
강서구,20230825,17,8
강서구,20230824,6,3
강서구,20230823,11,5
강서구,20230822,23,14
강서구,20230821,28,17
강서구,20230820,27,17
강서구,20230819,24,16
강서구,20230818,39,28
강서구,20230817,27,18
강서구,20230816,21,12
강서구,20230815,30,19
강서구,20230814,46,29
강서구,20230813,29,18
강서구,20230812,20,11
강서구,20230811,18,9
강서구,20230810,6,2
강서구,20230809,10,3
강서구,20230808,9,3
강서구,20230807,13,7
강서구,20230806,26,17
강서구,20230805,22,13
강서구,20230804,23,14
강서구,20230803,26,17
강서구,20230802,34,25
강서구,20230801,33,24
강서구,20230731,31,23
강서구,20230730,13,8
강서구,20230729,29,21
강서구,20230728,32,23
강서구,20230727,21,13
강서구,20230726,12,5
강서구,20230725,15,9
강서구,20230724,20,13
강서구,20230723,9,4
강서구,20230722,32,23
강서구,20230721,59,43
강서구,20230720,54,36
강서구,20230719,30,17
강서구,20230718,19,8
강서구,20230717,25,11
강서구,20230716,35,14
강서구,20230715,22,12
강서구,20230714,19,10
강서구,20230713,26,15
강서구,20230712,24,14
강서구,20230711,21,12
강서구,20230710,36,22
강서구,20230709,14,8
강서구,20230708,10,5
강서구,20230707,44,22
강서구,20230706,46,26
강서구,20230705,26,14
강서구,20230704,32,24
강서구,20230703,30,21
강서구,20230702,19,12
강서구,20230701,22,15
강서구,20230630,41,29
강서구,20230629,34,25
강서구,20230628,29,21
강서구,20230627,20,10
강서구,20230626,16,11
강서구,20230625,30,21
강서구,20230624,42,28
강서구,20230623,41,27
강서구,20230622,19,10
강서구,20230621,11,5
강서구,20230620,37,22
강서구,20230619,45,27
강서구,20230618,27,15
강서구,20230617,21,10
강서구,20230616,25,15
강서구,20230615,34,22
강서구,20230614,32,19
강서구,20230613,29,15
강서구,20230612,32,19
강서구,20230611,23,14
강서구,20230610,36,21
강서구,20230609,26,13
강서구,20230608,19,9
강서구,20230607,35,17
강서구,20230606,20,9
강서구,20230605,32,14
강서구,20230604,40,17
강서구,20230603,34,12
강서구,20230602,30,14
강서구,20230601,42,21
강서구,20230531,26,11
강서구,20230530,38,19
강서구,20230529,15,6
강서구,20230528,10,5
강서구,20230527,33,14
강서구,20230526,35,13
강서구,20230525,34,11
강서구,20230524,41,15
강서구,20230523,82,17
강서구,20230522,143,29
강서구,20230521,76,20
강서구,20230520,26,13
강서구,20230519,27,13
강서구,20230518,40,20
강서구,20230517,33,13
강서구,20230516,62,33
강서구,20230515,41,20
강서구,20230514,29,15
강서구,20230513,47,26
강서구,20230512,60,32
강서구,20230511,56,24
강서구,20230510,72,40
강서구,20230509,61,32
강서구,20230508,41,22
강서구,20230507,38,23
강서구,20230506,15,4
강서구,20230505,12,5
강서구,20230504,51,24
강서구,20230503,49,19
강서구,20230502,37,12
강서구,20230501,49,16
강서구,20230430,43,13
강서구,20230429,31,14
강서구,20230428,42,18
강서구,20230427,42,20
강서구,20230426,30,11
강서구,20230425,41,14
강서구,20230424,57,14
강서구,20230423,58,14
강서구,20230422,61,13
강서구,20230421,62,15
강서구,20230420,22,11
강서구,20230419,40,20
강서구,20230418,53,17
강서구,20230417,113,23
강서구,20230416,118,28
강서구,20230415,65,19
강서구,20230414,105,15
강서구,20230413,222,24
강서구,20230412,287,24
강서구,20230411,53,15
강서구,20230410,51,13
강서구,20230409,73,13
강서구,20230408,43,5
강서구,20230407,79,35
강서구,20230406,65,50
강서구,20230405,19,10
강서구,20230404,39,18
강서구,20230403,57,31
강서구,20230402,61,32
강서구,20230401,111,56
강서구,20230331,116,49
강서구,20230330,111,50
강서구,20230329,92,40
강서구,20230328,70,24
강서구,20230327,55,19
강서구,20230326,63,14
강서구,20230325,106,25
강서구,20230324,146,23
강서구,20230323,115,28
강서구,20230322,82,42
강서구,20230321,75,38
강서구,20230320,97,62
강서구,20230319,116,69
강서구,20230318,67,26
강서구,20230317,52,16
강서구,20230316,74,12
강서구,20230315,50,13
강서구,20230314,49,9
강서구,20230313,39,7
강서구,20230312,62,28
강서구,20230311,116,61
강서구,20230310,94,47
강서구,20230309,63,39
강서구,20230308,71,29
강서구,20230307,67,31
강서구,20230306,69,38
강서구,20230305,82,53
강서구,20230304,80,43
강서구,20230303,44,13
강서구,20230302,62,11
강서구,20230301,44,21
강서구,20230228,49,29
강서구,20230227,59,34
강서구,20230226,43,21
강서구,20230225,44,19
강서구,20230224,61,33
강서구,20230223,46,23
강서구,20230222,53,28
강서구,20230221,38,16
강서구,20230220,47,10
강서구,20230219,55,36
강서구,20230218,92,64
강서구,20230217,48,27
강서구,20230216,38,19
강서구,20230215,25,10
강서구,20230214,46,24
강서구,20230213,42,27
강서구,20230212,74,56
강서구,20230211,51,36
강서구,20230210,24,17
강서구,20230209,43,25
강서구,20230208,78,50
강서구,20230207,85,59
강서구,20230206,80,53
강서구,20230205,73,49
강서구,20230204,45,25
강서구,20230203,47,18
강서구,20230202,50,15
강서구,20230201,65,29
강서구,20230131,39,13
강서구,20230130,52,17
강서구,20230129,50,13
강서구,20230128,41,10
강서구,20230127,46,19
강서구,20230126,37,20
강서구,20230125,27,7
강서구,20230124,34,9
강서구,20230123,65,29
강서구,20230122,33,11
강서구,20230121,31,9
강서구,20230120,81,16
강서구,20230119,72,24
강서구,20230118,70,26
강서구,20230117,42,18
강서구,20230116,27,10
강서구,20230115,18,10
강서구,20230114,16,7
강서구,20230113,24,12
강서구,20230112,73,44
강서구,20230111,88,49
강서구,20230110,68,30
강서구,20230109,117,41
강서구,20230108,161,50
강서구,20230107,132,89
강서구,20230106,89,63
강서구,20230105,64,37
강서구,20230104,47,25
강서구,20230103,37,16
강서구,20230102,31,11
강서구,20230101,66,40
