측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
강서구,20220101,30,12
강서구,20220102,39,22
강서구,20220103,30,14
강서구,20220104,41,17
강서구,20220105,58,27
강서구,20220106,62,30
강서구,20220107,73,39
강서구,20220108,61,37
강서구,20220109,124,87
강서구,20220110,100,68
강서구,20220111,37,17
강서구,20220112,35,16
강서구,20220113,36,12
강서구,20220114,36,15
강서구,20220115,49,22
강서구,20220116,48,24
강서구,20220117,28,11
강서구,20220118,42,20
강서구,20220119,50,28
강서구,20220120,45,26
강서구,20220121,49,28
강서구,20220122,67,43
강서구,20220123,75,47
강서구,20220124,40,23
강서구,20220125,33,18
강서구,20220126,67,41
강서구,20220127,70,41
강서구,20220128,39,18
강서구,20220129,34,15
강서구,20220130,39,16
강서구,20220131,33,17
강서구,20220201,49,31
강서구,20220202,39,22
강서구,20220203,27,13
강서구,20220204,27,12
강서구,20220205,33,9
강서구,20220206,27,10
강서구,20220207,29,11
강서구,20220208,33,16
강서구,20220209,43,23
강서구,20220210,56,31
강서구,20220211,85,58
강서구,20220212,93,62
강서구,20220213,68,40
강서구,20220214,45,27
강서구,20220215,39,21
강서구,20220216,33,17
강서구,20220217,34,17
강서구,20220218,50,27
강서구,20220219,49,29
강서구,20220220,31,13
강서구,20220221,28,13
강서구,20220222,35,14
강서구,20220223,31,11
강서구,20220224,30,14
강서구,20220225,67,44
강서구,20220226,68,41
강서구,20220227,47,19
강서구,20220228,41,14
강서구,20220301,38,20
강서구,20220302,29,12
강서구,20220303,51,23
강서구,20220304,81,34
강서구,20220305,97,13
강서구,20220306,41,6
강서구,20220307,43,17
강서구,20220308,50,21
강서구,20220309,69,37
강서구,20220310,72,41
강서구,20220311,76,37
강서구,20220312,67,37
강서구,20220313,15,9
강서구,20220314,17,9
강서구,20220315,43,28
강서구,20220316,61,33
강서구,20220317,55,23
강서구,20220318,11,2
강서구,20220319,8,2
강서구,20220320,23,16
강서구,20220321,31,16
강서구,20220322,40,23
강서구,20220323,37,19
강서구,20220324,43,24
강서구,20220325,71,46
강서구,20220326,11,6
강서구,20220327,33,12
강서구,20220328,38,14
강서구,20220329,43,16
강서구,20220330,37,15
강서구,20220331,21,9
강서구,20220401,18,8
강서구,20220402,34,18
강서구,20220403,48,29
강서구,20220404,55,35
강서구,20220405,50,29
강서구,20220406,58,24
강서구,20220407,39,9
강서구,20220408,55,20
강서구,20220409,55,23
강서구,20220410,41,17
강서구,20220411,40,17
강서구,20220412,27,15
강서구,20220413,19,6
강서구,20220414,16,4
강서구,20220415,24,9
강서구,20220416,40,20
강서구,20220417,56,31
강서구,20220418,61,35
강서구,20220419,69,41
강서구,20220420,75,50
강서구,20220421,52,27
강서구,20220422,50,24
강서구,20220423,63,39
강서구,20220424,57,34
강서구,20220425,60,37
강서구,20220426,49,24
강서구,20220427,163,16
강서구,20220428,72,15
강서구,20220429,14,3
강서구,20220430,18,7
강서구,20220501,39,12
강서구,20220502,50,20
강서구,20220503,39,20
강서구,20220504,41,19
강서구,20220505,34,15
강서구,20220506,40,20
강서구,20220507,30,12
강서구,20220508,23,8
강서구,20220509,18,6
강서구,20220510,28,12
강서구,20220511,30,13
강서구,20220512,35,13
강서구,20220513,31,10
강서구,20220514,35,9
강서구,20220515,26,7
강서구,20220516,30,11
강서구,20220517,54,27
강서구,20220518,62,34
강서구,20220519,45,19
강서구,20220520,39,21
강서구,20220521,37,20
강서구,20220522,38,20
강서구,20220523,70,43
강서구,20220524,33,17
강서구,20220525,27,14
강서구,20220526,22,7
강서구,20220527,25,10
강서구,20220528,36,20
강서구,20220529,33,23
강서구,20220530,26,16
강서구,20220531,27,9
강서구,20220601,25,7
강서구,20220602,27,12
강서구,20220603,37,22
강서구,20220604,37,20
강서구,20220605,27,16
강서구,20220606,11,4
강서구,20220607,10,2
강서구,20220608,19,8
강서구,20220609,24,9
강서구,20220610,29,14
강서구,20220611,24,12
강서구,20220612,22,13
강서구,20220613,27,17
강서구,20220614,17,4
강서구,20220615,15,6
강서구,20220616,19,8
강서구,20220617,35,21
강서구,20220618,23,10
강서구,20220619,25,13
강서구,20220620,23,13
강서구,20220621,19,9
강서구,20220622,25,15
강서구,20220623,33,22
강서구,20220624,22,15
강서구,20220625,49,38
강서구,20220626,26,13
강서구,20220627,13,6
강서구,20220628,19,6
강서구,20220629,16,7
강서구,20220630,6,3
강서구,20220701,18,7
강서구,20220702,27,17
강서구,20220703,34,28
강서구,20220704,36,28
강서구,20220705,52,42
강서구,20220706,37,30
강서구,20220707,22,11
강서구,20220708,25,18
강서구,20220709,21,17
강서구,20220710,40,33
강서구,20220711,27,18
강서구,20220712,14,5
강서구,20220713,18,12
강서구,20220714,12,6
강서구,20220715,25,14
강서구,20220716,28,19
강서구,20220717,23,16
강서구,20220718,29,21
강서구,20220719,35,25
강서구,20220720,31,22
강서구,20220721,14,8
강서구,20220722,29,21
강서구,20220723,39,29
강서구,20220724,19,13
강서구,20220725,16,7
강서구,20220726,30,21
강서구,20220727,38,30
강서구,20220728,27,20
강서구,20220729,25,19
강서구,20220730,20,13
강서구,20220731,11,7
강서구,20220801,13,8
강서구,20220802,12,8
강서구,20220803,24,20
강서구,20220804,16,10
강서구,20220805,19,11
강서구,20220806,32,22
강서구,20220807,28,20
강서구,20220808,22,13
강서구,20220809,9,6
강서구,20220810,14,6
강서구,20220811,19,11
강서구,20220812,27,16
강서구,20220813,26,17
강서구,20220814,21,15
강서구,20220815,26,12
강서구,20220816,23,13
강서구,20220817,26,14
강서구,20220818,24,15
강서구,20220819,23,14
강서구,20220820,24,16
강서구,20220821,26,17
강서구,20220822,24,15
강서구,20220823,17,8
강서구,20220824,18,7
강서구,20220825,18,7
강서구,20220826,32,20
강서구,20220827,21,9
강서구,20220828,19,7
강서구,20220829,15,5
강서구,20220830,9,3
강서구,20220831,12,3
강서구,20220901,22,8
강서구,20220902,18,7
강서구,20220903,15,4
강서구,20220904,10,4
강서구,20220905,6,2
강서구,20220906,13,4
강서구,20220907,31,13
강서구,20220908,31,13
강서구,20220909,24,13
강서구,20220910,11,4
강서구,20220911,23,12
강서구,20220912,26,14
강서구,20220913,25,14
강서구,20220914,22,10
강서구,20220915,21,9
강서구,20220916,25,13
강서구,20220917,21,13
강서구,20220918,19,12
강서구,20220919,23,9
강서구,20220920,29,7
강서구,20220921,35,11
강서구,20220922,22,9
강서구,20220923,27,11
강서구,20220924,19,7
강서구,20220925,27,12
강서구,20220926,29,12
강서구,20220927,36,16
강서구,20220928,35,20
강서구,20220929,74,53
강서구,20220930,53,37
강서구,20221001,58,41
강서구,20221002,35,24
강서구,20221003,18,12
강서구,20221004,18,6
강서구,20221005,19,6
강서구,20221006,14,4
강서구,20221007,13,4
강서구,20221008,12,4
강서구,20221009,11,4
강서구,20221010,11,3
강서구,20221011,18,6
강서구,20221012,26,11
강서구,20221013,25,11
강서구,20221014,32,14
강서구,20221015,39,19
강서구,20221016,48,27
강서구,20221017,29,8
강서구,20221018,26,8
강서구,20221019,27,9
강서구,20221020,39,16
강서구,20221021,53,30
강서구,20221022,50,32
강서구,20221023,38,16
강서구,20221024,33,10
강서구,20221025,23,8
강서구,20221026,19,6
강서구,20221027,40,19
강서구,20221028,51,25
강서구,20221029,29,15
강서구,20221030,28,16
강서구,20221031,28,14
강서구,20221101,58,35
강서구,20221102,36,12
강서구,20221103,37,14
강서구,20221104,29,7
강서구,20221105,32,11
강서구,20221106,27,11
강서구,20221107,41,17
강서구,20221108,51,29
강서구,20221109,76,48
강서구,20221110,92,62
강서구,20221111,68,40
강서구,20221112,63,38
강서구,20221113,24,11
강서구,20221114,27,15
강서구,20221115,32,15
강서구,20221116,38,20
강서구,20221117,39,17
강서구,20221118,45,22
강서구,20221119,35,17
강서구,20221120,36,19
강서구,20221121,53,32
강서구,20221122,68,41
강서구,20221123,49,27
강서구,20221124,62,32
강서구,20221125,63,35
강서구,20221126,72,19
강서구,20221127,25,10
강서구,20221128,29,12
강서구,20221129,26,10
강서구,20221130,31,6
강서구,20221201,27,8
강서구,20221202,24,7
강서구,20221203,37,19
강서구,20221204,23,6
강서구,20221205,26,10
강서구,20221206,32,13
강서구,20221207,40,13
강서구,20221208,36,10
강서구,20221209,54,26
강서구,20221210,51,25
강서구,20221211,53,25
강서구,20221212,42,21
강서구,20221213,229,31
강서구,20221214,58,10
강서구,20221215,37,16
강서구,20221216,36,16
강서구,20221217,31,13
강서구,20221218,26,8
강서구,20221219,27,10
강서구,20221220,37,19
강서구,20221221,49,29
강서구,20221222,39,16
강서구,20221223,27,11
강서구,20221224,35,16
강서구,20221225,49,29
강서구,20221226,55,34
강서구,20221227,58,35
강서구,20221228,42,20
강서구,20221229,40,18
강서구,20221230,46,27
강서구,20221231,49,30
