대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2021-01-01,1,-4.2,2,270,0,25,14,1509
2021-01-02,1,-5,2.6,270,0,22,9,1694
2021-01-03,1,-5.6,2,270,0,38,13,1584
2021-01-04,0,-3.5,1.7,50,0,42,20,2716
2021-01-05,0,-5.5,2.9,290,0,26,15,2433
2021-01-06,0,-7.4,2.4,270,0.011,26,13,1918
2021-01-07,0,-14.5,4.1,270,0,29,12,678
2021-01-08,0,-14.9,3.3,290,0,20,11,950
2021-01-09,1,-12.2,2.6,270,0,25,15,919
2021-01-10,1,-7.7,1.3,290,0,32,20,1082
2021-01-11,0,-6.7,1.9,50,0,58,35,1992
2021-01-12,0,-3.9,1.8,50,0.005,61,42,1244
2021-01-13,0,2,2.4,50,0,101,40,1931
2021-01-14,0,1.7,2.3,70,0,79,28,2849
2021-01-15,0,4.5,3,50,0,71,25,2793
2021-01-16,1,-4.9,3.3,290,0,56,38,1754
2021-01-17,1,-5.5,2.3,270,0,21,14,1402
2021-01-18,0,-3.8,3.2,290,0,37,19,1961
2021-01-19,0,-6.3,1.8,290,0,29,13,2348
2021-01-20,0,-0.1,2.2,50,0,46,24,3052
2021-01-21,0,4.5,2.3,70,0.029,49,31,1470
2021-01-22,0,5.5,1.7,50,0,40,34,2839
2021-01-23,1,7.6,4.2,70,0,18,16,3148
2021-01-24,1,7.3,2.1,70,0,18,15,3013
2021-01-25,0,7.9,1.9,70,0,22,16,3965
2021-01-26,0,5.3,1.9,50,0.005,49,37,2258
2021-01-27,0,1.7,2.2,270,0,39,20,3641
2021-01-28,0,-2.6,4,270,0.003,32,18,1973
2021-01-29,0,-8.8,3.5,270,0,46,13,2100
2021-01-30,1,-1.6,2.5,50,0,54,26,2245
2021-01-31,1,3.2,2,70,0,58,29,2616
2021-02-01,0,5,2.7,50,0.002,67,38,3525
2021-02-02,0,-5.6,3.9,270,0,33,18,2715
2021-02-03,0,-3.2,2.2,200,0.003,33,20,2670
2021-02-04,0,-3.6,2.5,270,0.002,25,16,1743
2021-02-05,0,1.4,2.4,200,0,25,15,3069
2021-02-06,1,6.8,2.2,200,0,64,43,3021
2021-02-07,1,3.6,2.9,270,0,81,49,2464
2021-02-08,0,-3.1,3.4,290,0,25,16,3016
2021-02-09,0,-0.9,2,250,0,22,14,3474
2021-02-10,0,3.4,2.1,230,0,34,23,3708
2021-02-11,1,5.5,1.3,70,0,78,55,2505
2021-02-12,1,6.5,1.7,20,0,112,82,2242
2021-02-13,1,7.6,1.5,20,0,124,89,3035
2021-02-14,1,9.5,1.7,70,0,111,79,2760
2021-02-15,0,1.2,4,250,0.002,55,38,2817
2021-02-16,0,-5.1,3.2,270,0,21,13,2038
2021-02-17,0,-8.3,5,270,0,34,11,2109
2021-02-18,0,-5.8,3.1,270,0,33,14,2612
2021-02-19,0,1.6,2.9,200,0,42,23,3643
2021-02-20,1,8.8,2.1,200,0,69,40,3951
2021-02-21,1,10.8,2.8,50,0,75,46,4265
2021-02-22,0,7.8,2.9,290,0,54,29,4289
