"대여일자","이용건수","평일/주말","평균온도","풍속","풍향","일강수량","미세먼지농도(㎍/㎥)","초미세먼지농도(㎍/㎥)"
2022-01-01,3295,1,-4.3,1.5,20,0,30,12
2022-01-02,2905,1,-1.3,2.3,290,0.0017,39,22
2022-01-03,6305,0,-1.9,1.8,250,0,30,14
2022-01-04,6827,0,-2.5,2.4,250,0,41,17
2022-01-05,6833,0,-2.8,1.7,50,0,58,27
2022-01-06,7056,0,-2.2,2.3,290,0,62,30
2022-01-07,7062,0,-1.6,1.5,250,0,73,39
2022-01-08,5021,1,0.3,1.7,200,0,61,37
2022-01-09,3931,1,1.3,1.7,270,0,124,87
2022-01-10,6791,0,0.5,2,250,0.0051,100,68
2022-01-11,4869,0,-7.4,4,290,0.0011,37,17
2022-01-12,5694,0,-7.7,2.4,290,0,35,16
2022-01-13,5397,0,-6.4,3.3,270,0,36,12
2022-01-14,5874,0,-4.8,1.7,180,0,36,15
2022-01-15,4458,1,-1,1.9,50,0,49,22
2022-01-16,3303,1,-2,3.3,250,0,48,24
2022-01-17,4372,0,-5.8,2.2,270,0.0028,28,11
2022-01-18,5367,0,-5.6,2.3,290,0,42,20
2022-01-19,3712,0,-5.3,2.1,320,0.0096,50,28
2022-01-20,5327,0,-5,1.8,320,0,45,26
2022-01-21,6089,0,-2.7,1.8,50,0,49,28
2022-01-22,4598,1,0.3,1.7,290,0,67,43
2022-01-23,4110,1,2,1.7,250,0,75,47
2022-01-24,7212,0,4.6,3.5,70,0,40,23
2022-01-25,6232,0,2.8,2.3,270,0.004,33,18
2022-01-26,7069,0,1.3,2.2,320,0,67,41
2022-01-27,6613,0,-1.1,2.1,290,0,70,41
2022-01-28,6291,0,-2.7,2.8,290,0,39,18
2022-01-29,3881,1,-3.6,2.4,320,0,34,15
2022-01-30,2956,1,-2.8,2.2,270,0,39,16
2022-01-31,2673,1,-0.7,1.9,250,0.0068,33,17
2022-01-31,2673,1,-1.3,2.6,270,0.0096,49,31
2022-02-02,2675,1,-3.4,2.4,250,0,39,22
2022-02-03,5170,0,-3.4,2.4,270,0,27,13
2022-02-04,5100,0,-5.2,3.1,290,0,27,12
2022-02-05,3297,1,-6.6,3.1,270,0,33,9
2022-02-06,3047,1,-3.9,2.5,290,0,27,10
2022-02-07,5975,0,-2.5,1.8,290,0,29,11
2022-02-08,6619,0,-0.1,1.9,290,0,33,16
2022-02-09,6860,0,1,1.8,290,0,43,23
2022-02-10,7157,0,1.4,2.3,320,0,56,31
2022-02-11,7226,0,2.9,1.8,250,0,85,58
2022-02-12,5806,1,4.8,1.7,270,0,93,62
2022-02-13,4891,1,4.8,1.8,320,0,68,40
2022-02-14,5497,0,2.5,2.9,270,0.0096,45,27
2022-02-15,5662,0,-4.7,3.8,270,0,39,21
2022-02-16,5105,0,-7.3,3.7,270,0,33,17
2022-02-17,5416,0,-6.2,2.5,290,0,34,17
2022-02-18,6280,0,-1.2,2,270,0,50,27
2022-02-19,3907,1,-1.7,2.9,290,6e-04,49,29
2022-02-20,3007,1,-4.8,4.1,290,0,31,13
2022-02-21,5623,0,-3,2.9,270,6e-04,28,13
2022-02-22,5708,0,-4.5,3.2,320,0,35,14
2022-02-23,5482,0,-5.6,2.6,290,0,31,11
2022-02-24,6163,0,-2.4,2.2,320,0,30,14
2022-02-25,6869,0,3,2.3,250,0,67,44
2022-02-26,3995,1,5.4,3.9,290,0.0062,68,41
2022-02-27,4710,1,3.7,2.8,250,0,47,19
2022-02-28,7547,0,6.8,1.5,200,0,41,14
2022-03-01,4899,1,5.8,2.3,250,0.0131,38,20
2022-03-02,7755,0,3.5,2.7,230,0,29,12
2022-03-03,8178,0,5.8,2.1,290,0,51,23
2022-03-04,7869,0,6.9,3.6,180,0,81,34
2022-03-05,5713,1,2.3,4.3,250,0,97,13
2022-03-06,4890,1,1.4,2.6,320,0,41,6
2022-03-07,7716,0,2.8,2,270,0,43,17
2022-03-08,8562,0,6,2,270,0,50,21
2022-03-09,7795,1,7.1,1.9,250,0,69,37
2022-03-10,8754,0,9.3,2.1,200,0,72,41
2022-03-11,9508,0,11.2,1.9,180,0,76,37
2022-03-12,7466,1,12.8,2.7,180,0.0148,67,37
2022-03-13,3522,1,11.7,1.9,320,0.2389,15,9
2022-03-14,5348,0,8.2,3.2,250,0.0494,17,9
2022-03-15,9096,0,7.2,2,250,0,43,28
2022-03-16,9897,0,10.3,2.1,290,0,61,33
2022-03-17,8104,0,10.7,2.7,50,0.0068,55,23
2022-03-18,8489,0,7.5,4.4,50,0,11,2
2022-03-19,3548,1,3.4,3,50,0.0829,8,2
2022-03-20,6321,1,5.4,2.6,230,0,23,16
