측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
강서구,20210101,25,14
강서구,20210102,22,9
강서구,20210103,38,13
강서구,20210104,42,20
강서구,20210105,26,15
강서구,20210106,26,13
강서구,20210107,29,12
강서구,20210108,20,11
강서구,20210109,25,15
강서구,20210110,32,20
강서구,20210111,58,35
강서구,20210112,61,42
강서구,20210113,101,40
강서구,20210114,79,28
강서구,20210115,71,25
강서구,20210116,56,38
강서구,20210117,21,14
강서구,20210118,37,19
강서구,20210119,29,13
강서구,20210120,46,24
강서구,20210121,49,31
강서구,20210122,40,34
강서구,20210123,18,16
강서구,20210124,18,15
강서구,20210125,22,16
강서구,20210126,49,37
강서구,20210127,39,20
강서구,20210128,32,18
강서구,20210129,46,13
강서구,20210130,54,26
강서구,20210131,58,29
강서구,20210201,67,38
강서구,20210202,33,18
강서구,20210203,33,20
강서구,20210204,25,16
강서구,20210205,25,15
강서구,20210206,64,43
강서구,20210207,81,49
강서구,20210208,25,16
강서구,20210209,22,14
강서구,20210210,34,23
강서구,20210211,78,55
강서구,20210212,112,82
강서구,20210213,124,89
강서구,20210214,111,79
강서구,20210215,55,38
강서구,20210216,21,13
강서구,20210217,34,11
강서구,20210218,33,14
강서구,20210219,42,23
강서구,20210220,69,40
강서구,20210221,75,46
강서구,20210222,54,29
강서구,20210223,50,16
강서구,20210224,58,23
강서구,20210225,67,35
강서구,20210226,46,25
강서구,20210227,18,10
강서구,20210228,25,15
강서구,20210301,27,18
강서구,20210302,11,7
강서구,20210303,42,26
강서구,20210304,41,26
강서구,20210305,37,25
강서구,20210306,32,20
강서구,20210307,22,15
강서구,20210308,46,32
강서구,20210309,48,32
강서구,20210310,103,75
강서구,20210311,137,97
강서구,20210312,87,57
강서구,20210313,57,38
강서구,20210314,90,69
강서구,20210315,92,69
강서구,20210316,40,23
강서구,20210317,89,18
강서구,20210318,98,40
강서구,20210319,88,40
강서구,20210320,35,19
강서구,20210321,46,34
강서구,20210322,36,16
강서구,20210323,73,30
강서구,20210324,55,25
강서구,20210325,62,34
강서구,20210326,123,80
강서구,20210327,70,39
강서구,20210328,11,8
강서구,20210329,83,24
강서구,20210330,156,29
강서구,20210331,45,18
강서구,20210401,44,15
강서구,20210402,45,14
강서구,20210403,31,13
강서구,20210404,9,5
강서구,20210405,20,10
강서구,20210406,41,24
강서구,20210407,58,36
강서구,20210408,32,14
강서구,20210409,33,16
강서구,20210410,31,17
강서구,20210411,43,23
강서구,20210412,38,20
강서구,20210413,13,8
강서구,20210414,25,13
강서구,20210415,43,21
강서구,20210416,78,19
강서구,20210417,100,18
강서구,20210418,28,13
강서구,20210419,44,21
강서구,20210420,61,30
강서구,20210421,75,37
강서구,20210422,69,37
강서구,20210423,41,20
강서구,20210424,22,11
강서구,20210425,22,12
강서구,20210426,25,12
강서구,20210427,28,15
강서구,20210428,61,26
강서구,20210429,72,23
강서구,20210430,30,15
강서구,20210501,21,12
강서구,20210502,13,7
강서구,20210503,31,19
강서구,20210504,26,14
강서구,20210505,42,10
강서구,20210506,66,16
강서구,20210507,387,102
강서구,20210508,440,85
강서구,20210509,41,10
강서구,20210510,17,9
강서구,20210511,15,8
강서구,20210512,21,12
강서구,20210513,47,29
강서구,20210514,59,37
강서구,20210515,52,37
강서구,20210516,5,4
강서구,20210517,14,6
강서구,20210518,31,18
강서구,20210519,36,22
강서구,20210520,25,15
강서구,20210521,12,8
강서구,20210522,23,16
강서구,20210523,33,25
강서구,20210524,135,34
강서구,20210525,104,26
강서구,20210526,45,15
강서구,20210527,41,19
강서구,20210528,39,23
강서구,20210529,19,12
강서구,20210530,24,15
강서구,20210531,34,20
강서구,20210601,36,23
강서구,20210602,51,32
강서구,20210603,30,19
강서구,20210604,24,13
강서구,20210605,46,28
강서구,20210606,61,40
강서구,20210607,39,21
강서구,20210608,41,29
강서구,20210609,43,31
강서구,20210610,58,46
강서구,20210611,16,14
강서구,20210612,21,17
강서구,20210613,30,22
강서구,20210614,43,32
강서구,20210615,24,19
강서구,20210616,8,5
강서구,20210617,15,11
강서구,20210618,12,10
강서구,20210619,43,31
강서구,20210620,54,38
강서구,20210621,40,28
강서구,20210622,31,22
강서구,20210623,21,15
강서구,20210624,30,21
강서구,20210625,43,29
강서구,20210626,22,15
강서구,20210627,18,13
강서구,20210628,23,16
강서구,20210629,29,20
강서구,20210630,38,26
강서구,20210701,37,27
강서구,20210702,26,18
강서구,20210703,12,8
강서구,20210704,7,5
강서구,20210705,20,13
강서구,20210706,44,29
강서구,20210707,30,20
강서구,20210708,18,13
강서구,20210709,17,11
강서구,20210710,25,19
강서구,20210711,31,22
강서구,20210712,37,26
강서구,20210713,28,18
강서구,20210714,19,11
강서구,20210715,18,11
강서구,20210716,19,13
강서구,20210717,16,11
강서구,20210718,13,10
강서구,20210719,13,9
강서구,20210720,21,14
강서구,20210721,22,15
강서구,20210722,25,18
강서구,20210723,33,25
강서구,20210724,33,25
강서구,20210725,22,17
강서구,20210726,19,13
강서구,20210727,28,19
강서구,20210728,37,27
강서구,20210729,44,31
강서구,20210730,21,15
강서구,20210731,21,16
강서구,20210801,28,21
강서구,20210802,12,9
강서구,20210803,18,12
강서구,20210804,19,14
강서구,20210805,23,18
강서구,20210806,17,12
강서구,20210807,13,9
강서구,20210808,21,14
강서구,20210809,12,7
강서구,20210810,14,10
강서구,20210811,32,23
강서구,20210812,38,29
강서구,20210813,25,19
강서구,20210814,12,9
강서구,20210815,10,7
강서구,20210816,18,12
강서구,20210817,15,10
강서구,20210818,9,6
강서구,20210819,13,8
강서구,20210820,17,12
강서구,20210821,11,8
강서구,20210822,23,16
강서구,20210823,25,16
강서구,20210824,11,6
강서구,20210825,17,9
강서구,20210826,39,25
강서구,20210827,32,17
강서구,20210828,33,20
강서구,20210829,27,21
강서구,20210830,36,24
강서구,20210831,28,21
강서구,20210901,5,2
강서구,20210902,9,3
강서구,20210903,12,5
강서구,20210904,7,3
강서구,20210905,5,2
강서구,20210906,14,4
강서구,20210907,8,6
강서구,20210908,6,1
강서구,20210909,29,18
강서구,20210910,37,26
강서구,20210911,29,21
강서구,20210912,21,13
강서구,20210913,25,15
강서구,20210914,20,10
강서구,20210915,13,4
강서구,20210916,9,4
강서구,20210917,12,4
강서구,20210918,7,3
강서구,20210919,11,6
강서구,20210920,9,4
강서구,20210921,14,10
강서구,20210922,8,4
강서구,20210923,13,7
강서구,20210924,19,10
강서구,20210925,7,2
강서구,20210926,5,2
강서구,20210927,8,2
강서구,20210928,8,3
강서구,20210929,13,8
강서구,20210930,19,9
강서구,20211001,37,21
강서구,20211002,14,5
강서구,20211003,38,24
강서구,20211004,38,18
강서구,20211005,37,13
강서구,20211006,9,2
강서구,20211007,7,3
강서구,20211008,14,6
강서구,20211009,8,3
강서구,20211010,19,13
강서구,20211011,30,6
강서구,20211012,10,2
강서구,20211013,12,3
강서구,20211014,16,6
강서구,20211015,26,14
강서구,20211016,29,8
강서구,20211017,22,4
강서구,20211018,20,5
강서구,20211019,26,17
강서구,20211020,32,15
강서구,20211021,37,20
강서구,20211022,47,24
강서구,20211023,44,23
강서구,20211024,32,21
강서구,20211025,31,18
강서구,20211026,47,29
강서구,20211027,52,31
강서구,20211028,34,16
강서구,20211029,29,13
강서구,20211030,20,9
강서구,20211031,32,17
강서구,20211101,33,20
강서구,20211102,40,24
강서구,20211103,48,29
강서구,20211104,49,34
강서구,20211105,79,51
강서구,20211106,65,38
강서구,20211107,45,25
강서구,20211108,10,3
강서구,20211109,9,4
강서구,20211110,15,6
강서구,20211111,15,5
강서구,20211112,21,8
강서구,20211113,28,10
강서구,20211114,55,25
강서구,20211115,63,23
강서구,20211116,55,24
강서구,20211117,35,20
강서구,20211118,64,28
강서구,20211119,104,59
강서구,20211120,138,85
강서구,20211121,132,92
강서구,20211122,47,13
강서구,20211123,34,9
강서구,20211124,22,7
강서구,20211125,53,18
강서구,20211126,23,10
강서구,20211127,44,20
강서구,20211128,52,30
강서구,20211129,76,45
강서구,20211130,28,16
강서구,20211201,19,8
강서구,20211202,25,11
강서구,20211203,23,9
강서구,20211204,25,11
강서구,20211205,38,20
강서구,20211206,70,35
강서구,20211207,66,36
강서구,20211208,52,27
강서구,20211209,61,31
강서구,20211210,31,15
강서구,20211211,69,40
강서구,20211212,48,25
강서구,20211213,25,8
강서구,20211214,34,15
강서구,20211215,84,50
강서구,20211216,94,54
강서구,20211217,38,16
강서구,20211218,25,9
강서구,20211219,36,12
강서구,20211220,57,24
강서구,20211221,60,28
강서구,20211222,36,14
강서구,20211223,51,25
강서구,20211224,51,28
강서구,20211225,27,11
강서구,20211226,19,7
강서구,20211227,37,16
강서구,20211228,61,35
강서구,20211229,66,40
강서구,20211230,34,13
강서구,20211231,27,5
