대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
2022-10,102,102. 망원역 1번출구 앞,단체권,,20대,9,582.08,5.64,24354.9,407.0
2022-10,102,102. 망원역 1번출구 앞,단체권,,30대,5,698.16,5.07,21817.86,186.0
2022-10,102,102. 망원역 1번출구 앞,단체권,F,20대,10,795.6,8.77,37868.23,467.0
2022-10,102,102. 망원역 1번출구 앞,단체권,F,30대,6,735.53,6.64,28575.4,165.0
2022-10,102,102. 망원역 1번출구 앞,단체권,F,40대,3,370.24,4.17,17980.0,196.0
2022-10,102,102. 망원역 1번출구 앞,단체권,F,기타,5,299.86,3.29,14179.5,190.0
2022-10,102,102. 망원역 1번출구 앞,단체권,M,20대,3,261.6,2.04,8790.46,72.0
2022-10,102,102. 망원역 1번출구 앞,단체권,M,~10대,2,233.79,1.91,8199.69,45.0
2022-10,102,102. 망원역 1번출구 앞,단체권,M,기타,2,46.95,0.42,1823.9,21.0
2022-10,102,102. 망원역 1번출구 앞,일일권,,20대,216,15177.46,143.35,618141.53,6143.0
2022-10,102,102. 망원역 1번출구 앞,일일권,,30대,103,9315.09,76.03,327710.19,2867.0
2022-10,102,102. 망원역 1번출구 앞,일일권,,40대,25,1865.29,15.51,66862.86,575.0
2022-10,102,102. 망원역 1번출구 앞,일일권,,50대,5,254.42,2.3,9985.51,85.0
2022-10,102,102. 망원역 1번출구 앞,일일권,,~10대,6,278.68,2.85,12309.9,108.0
2022-10,102,102. 망원역 1번출구 앞,일일권,,기타,25,3920.4,36.07,155576.27,1362.0
2022-10,102,102. 망원역 1번출구 앞,일일권,F,20대,180,14427.39,143.79,619963.37,6162.0
2022-10,102,102. 망원역 1번출구 앞,일일권,F,30대,83,6596.93,66.03,284697.48,2828.0
2022-10,102,102. 망원역 1번출구 앞,일일권,F,40대,19,1458.52,13.97,60213.3,562.0
2022-10,102,102. 망원역 1번출구 앞,일일권,F,50대,2,414.11,3.47,14939.17,75.0
2022-10,102,102. 망원역 1번출구 앞,일일권,F,60대,1,133.33,1.2,5180.0,72.0
2022-10,102,102. 망원역 1번출구 앞,일일권,F,~10대,21,1301.73,13.25,57196.33,626.0
2022-10,102,102. 망원역 1번출구 앞,일일권,F,기타,35,2022.34,19.25,83122.06,1119.0
2022-10,102,102. 망원역 1번출구 앞,일일권,M,20대,170,15246.53,126.06,543392.35,5217.0
2022-10,102,102. 망원역 1번출구 앞,일일권,M,30대,76,8032.95,62.8,270683.52,2379.0
2022-10,102,102. 망원역 1번출구 앞,일일권,M,40대,33,2251.06,18.54,80007.55,705.0
2022-10,102,102. 망원역 1번출구 앞,일일권,M,50대,9,529.45,4.03,17410.92,194.0
2022-10,102,102. 망원역 1번출구 앞,일일권,M,60대,2,97.76,0.74,3175.6,30.0
2022-10,102,102. 망원역 1번출구 앞,일일권,M,~10대,32,2717.52,23.64,101977.7,997.0
2022-10,102,102. 망원역 1번출구 앞,일일권,M,기타,23,1868.65,15.87,68437.59,618.0
2022-10,102,102. 망원역 1번출구 앞,일일권(비회원),,기타,71,5067.26,45.65,196863.78,3527.0
2022-10,102,102. 망원역 1번출구 앞,일일권(비회원),M,20대,6,192.04,1.72,7460.78,85.0
2022-10,102,102. 망원역 1번출구 앞,일일권(비회원),M,기타,1,408.49,3.68,15870.0,53.0
2022-10,102,102. 망원역 1번출구 앞,정기권,,20대,726,42907.38,398.13,1716021.77,16713.0
2022-10,102,102. 망원역 1번출구 앞,정기권,,30대,367,20023.37,181.65,782997.04,8389.0
2022-10,102,102. 망원역 1번출구 앞,정기권,,40대,151,13323.7,114.78,494641.49,4331.0
2022-10,102,102. 망원역 1번출구 앞,정기권,,50대,85,5538.44,48.59,209541.17,2401.0
2022-10,102,102. 망원역 1번출구 앞,정기권,,60대,12,497.42,4.01,17275.8,330.0
2022-10,102,102. 망원역 1번출구 앞,정기권,,~10대,5,190.14,2.09,9074.69,120.0
2022-10,102,102. 망원역 1번출구 앞,정기권,,기타,26,1718.22,14.88,64166.28,522.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,20대,502,26752.92,264.49,1139972.88,11502.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,30대,343,16743.86,165.7,714509.92,8368.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,40대,152,8377.69,84.14,362666.78,4344.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,50대,54,2250.66,22.3,96136.89,1231.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,60대,16,744.4,8.38,36019.96,316.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,70대이상,2,243.48,1.77,7601.61,47.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,~10대,22,1390.73,12.6,54311.0,476.0
2022-10,102,102. 망원역 1번출구 앞,정기권,F,기타,106,4269.7,41.48,178933.88,1799.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,20대,342,20207.5,166.43,717490.32,6818.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,30대,267,19902.16,153.62,661926.68,6526.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,40대,153,13735.42,108.62,468300.3,3887.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,50대,105,7215.92,58.05,250154.72,2922.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,60대,26,809.59,6.54,28173.14,330.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,70대이상,3,144.34,1.39,5968.47,96.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,~10대,26,1752.76,14.23,61347.13,517.0
2022-10,102,102. 망원역 1번출구 앞,정기권,M,기타,59,4157.49,34.02,146687.56,1759.0
