조사년월일,측정지역,일일강수량
20230930,송파구,0.005
20230929,송파구,0
20230928,송파구,0
20230927,송파구,0.033
20230926,송파구,0.067
20230925,송파구,0.007
20230924,송파구,0
20230923,송파구,0
20230922,송파구,0
20230921,송파구,0
20230920,송파구,0.093
20230919,송파구,0
20230918,송파구,0
20230916,송파구,0.039
20230915,송파구,0.015
20230914,송파구,0
20230912,송파구,0
20230911,송파구,0
20230910,송파구,0
20230909,송파구,0
20230908,송파구,0
20230907,송파구,0
20230906,송파구,0
20230905,송파구,0.02
20230904,송파구,0.003
20230903,송파구,0.033
20230902,송파구,0
20230901,송파구,0
20230831,송파구,0
20230830,송파구,0.034
20230829,송파구,0.083
20230828,송파구,0.037
20230827,송파구,0
20230826,송파구,0
20230825,송파구,0.005
20230824,송파구,0.01
20230823,송파구,0.094
20230822,송파구,0.062
20230821,송파구,0
20230820,송파구,0
20230819,송파구,0
20230818,송파구,0.018
20230817,송파구,0
20230816,송파구,0
20230815,송파구,0
20230814,송파구,0
20230813,송파구,0
20230812,송파구,0.007
20230811,송파구,0.073
20230810,송파구,0.275
20230809,송파구,0.002
20230808,송파구,0
20230807,송파구,0
20230806,송파구,0.005
20230805,송파구,0
20230804,송파구,0
20230803,송파구,0
20230802,송파구,0
20230801,송파구,0
20230731,송파구,0.002
20230730,송파구,0
20230729,송파구,0
20230728,송파구,0
20230727,송파구,0
20230726,송파구,0.01
20230725,송파구,0
20230724,송파구,0.01
20230723,송파구,0.111
20230722,송파구,0.024
20230721,송파구,0
20230720,송파구,0
20230719,송파구,0
20230718,송파구,0.081
20230717,송파구,0.003
20230716,송파구,0.026
20230715,송파구,0.003
20230714,송파구,0.257
20230713,송파구,0.272
20230712,송파구,0
20230711,송파구,0.341
20230710,송파구,0.018
20230708,송파구,0
20230707,송파구,0
20230706,송파구,0
20230704,송파구,0.159
20230703,송파구,0
20230702,송파구,0
20230701,송파구,0
20230630,송파구,0.002
20230629,송파구,0.166
20230628,송파구,0
20230627,송파구,0.01
20230626,송파구,0.127
20230625,송파구,0
20230624,송파구,0
20230623,송파구,0
20230622,송파구,0
20230621,송파구,0.125
20230620,송파구,0.029
20230619,송파구,0
20230618,송파구,0
20230617,송파구,0
20230616,송파구,0
20230615,송파구,0
20230614,송파구,0
20230613,송파구,0
