측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
송파구,20210101,21,12
송파구,20210102,30,10
송파구,20210103,34,14
송파구,20210104,37,25
송파구,20210105,22,13
송파구,20210106,22,12
송파구,20210107,33,10
송파구,20210108,18,9
송파구,20210109,21,14
송파구,20210110,26,20
송파구,20210111,31,23
송파구,20210112,48,42
송파구,20210113,84,38
송파구,20210114,72,32
송파구,20210115,66,33
송파구,20210116,47,35
송파구,20210117,17,12
송파구,20210118,31,17
송파구,20210119,26,13
송파구,20210120,32,20
송파구,20210121,41,27
송파구,20210122,20,17
송파구,20210123,9,7
송파구,20210124,12,9
송파구,20210125,22,14
송파구,20210126,26,19
송파구,20210127,34,17
송파구,20210128,27,14
송파구,20210129,21,8
송파구,20210130,39,19
송파구,20210131,45,24
송파구,20210201,56,31
송파구,20210202,27,16
송파구,20210203,28,17
송파구,20210204,22,14
송파구,20210205,21,13
송파구,20210206,48,31
송파구,20210207,77,51
송파구,20210208,27,19
송파구,20210209,22,13
송파구,20210210,29,19
송파구,20210211,54,38
송파구,20210212,74,56
송파구,20210213,85,65
송파구,20210214,91,73
송파구,20210215,48,34
송파구,20210216,22,11
송파구,20210217,37,9
송파구,20210218,30,11
송파구,20210219,40,21
송파구,20210220,57,29
송파구,20210221,63,37
송파구,20210222,51,25
송파구,20210223,45,13
송파구,20210224,45,18
송파구,20210225,49,25
송파구,20210226,33,19
송파구,20210227,16,8
송파구,20210228,24,13
송파구,20210301,15,9
송파구,20210302,10,6
송파구,20210303,32,18
송파구,20210304,40,25
송파구,20210305,35,20
송파구,20210306,27,15
송파구,20210307,23,13
송파구,20210308,41,25
송파구,20210309,48,29
송파구,20210310,85,60
송파구,20210311,112,84
송파구,20210312,60,41
송파구,20210313,51,34
송파구,20210314,67,50
송파구,20210315,68,49
송파구,20210316,65,15
송파구,20210317,93,17
송파구,20210318,96,38
송파구,20210319,68,25
송파구,20210320,27,12
송파구,20210321,43,31
송파구,20210322,36,15
송파구,20210323,70,25
송파구,20210324,57,24
송파구,20210325,59,27
송파구,20210326,92,55
송파구,20210327,53,30
송파구,20210328,17,12
송파구,20210329,263,43
송파구,20210330,130,28
송파구,20210331,42,17
송파구,20210401,45,14
송파구,20210402,47,15
송파구,20210403,31,12
송파구,20210404,10,5
송파구,20210405,22,10
송파구,20210406,39,23
송파구,20210407,51,30
송파구,20210408,33,15
송파구,20210409,33,16
송파구,20210410,33,19
송파구,20210411,45,24
송파구,20210412,35,21
송파구,20210413,9,6
송파구,20210414,26,13
송파구,20210415,39,19
송파구,20210416,69,16
송파구,20210417,75,14
송파구,20210418,30,13
송파구,20210419,45,21
송파구,20210420,63,32
송파구,20210421,72,36
송파구,20210422,70,36
송파구,20210423,44,22
송파구,20210424,26,12
송파구,20210425,26,13
송파구,20210426,31,13
송파구,20210427,31,15
송파구,20210428,54,21
송파구,20210429,60,19
송파구,20210430,33,16
송파구,20210501,24,12
송파구,20210502,15,7
송파구,20210503,28,17
송파구,20210504,28,17
송파구,20210505,42,10
송파구,20210506,66,16
송파구,20210507,326,53
송파구,20210508,456,70
송파구,20210509,50,11
송파구,20210510,22,9
송파구,20210511,22,10
송파구,20210512,24,11
송파구,20210513,45,26
송파구,20210514,55,34
송파구,20210515,47,33
송파구,20210516,10,4
송파구,20210517,11,4
송파구,20210518,25,13
송파구,20210519,32,20
송파구,20210520,27,14
송파구,20210521,13,8
송파구,20210522,26,16
송파구,20210523,29,20
송파구,20210524,120,48
송파구,20210525,100,32
송파구,20210526,41,17
송파구,20210527,38,19
송파구,20210528,35,20
송파구,20210529,23,12
송파구,20210530,26,15
송파구,20210531,34,20
송파구,20210601,41,26
송파구,20210602,51,32
송파구,20210603,35,20
송파구,20210604,25,11
송파구,20210605,41,21
송파구,20210606,57,34
송파구,20210607,36,18
송파구,20210608,38,22
송파구,20210609,40,24
송파구,20210610,51,34
송파구,20210611,21,14
송파구,20210612,23,14
송파구,20210613,34,23
송파구,20210614,40,24
송파구,20210615,27,18
송파구,20210616,10,5
송파구,20210617,17,9
송파구,20210618,19,12
송파구,20210619,42,27
송파구,20210620,48,31
송파구,20210621,43,25
송파구,20210622,22,13
송파구,20210623,18,10
송파구,20210624,31,20
송파구,20210625,37,25
송파구,20210626,22,15
송파구,20210627,22,14
송파구,20210628,27,17
송파구,20210629,32,21
송파구,20210630,38,27
송파구,20210701,38,25
