측정소명,측정일시,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
송파구,20231115,41,26
송파구,20231114,27,16
송파구,20231113,25,14
송파구,20231112,21,12
송파구,20231111,21,12
송파구,20231110,20,11
송파구,20231109,29,15
송파구,20231108,26,12
송파구,20231107,22,9
송파구,20231106,20,7
송파구,20231105,16,11
송파구,20231104,53,21
송파구,20231103,32,15
송파구,20231102,39,19
송파구,20231101,45,24
송파구,20231031,52,29
송파구,20231030,45,26
송파구,20231029,31,20
송파구,20231028,34,19
송파구,20231027,27,14
송파구,20231026,45,31
송파구,20231025,33,22
송파구,20231024,33,20
송파구,20231023,30,15
송파구,20231022,24,10
송파구,20231021,20,6
송파구,20231020,24,7
송파구,20231019,25,14
송파구,20231018,35,19
송파구,20231017,37,15
송파구,20231016,47,21
송파구,20231015,26,17
송파구,20231014,29,20
송파구,20231013,40,22
송파구,20231012,30,17
송파구,20231011,24,14
송파구,20231010,20,11
송파구,20231009,14,7
송파구,20231008,14,6
송파구,20231007,22,10
송파구,20231006,24,10
송파구,20231005,35,7
송파구,20231004,23,14
송파구,20231003,20,11
송파구,20231002,19,9
송파구,20231001,28,9
송파구,20230930,24,12
송파구,20230929,43,28
송파구,20230928,43,29
송파구,20230927,9,4
송파구,20230926,8,4
송파구,20230925,15,5
송파구,20230924,13,6
송파구,20230923,21,9
송파구,20230922,22,9
송파구,20230921,11,4
송파구,20230920,25,16
송파구,20230919,37,18
송파구,20230918,20,9
송파구,20230917,16,10
송파구,20230916,14,6
송파구,20230915,12,4
송파구,20230914,10,3
송파구,20230913,25,15
송파구,20230912,33,18
송파구,20230911,36,22
송파구,20230910,40,25
송파구,20230909,35,18
송파구,20230908,21,8
송파구,20230907,21,10
송파구,20230906,22,10
송파구,20230905,18,8
송파구,20230904,21,9
송파구,20230903,20,12
송파구,20230902,32,18
송파구,20230901,33,17
송파구,20230831,26,15
송파구,20230830,21,11
송파구,20230829,15,7
송파구,20230828,17,9
송파구,20230827,33,21
송파구,20230826,42,28
송파구,20230825,21,9
송파구,20230824,9,3
송파구,20230823,14,6
송파구,20230822,24,15
송파구,20230821,29,18
송파구,20230820,29,19
송파구,20230819,34,24
송파구,20230818,41,30
송파구,20230817,28,18
송파구,20230816,19,10
송파구,20230815,27,16
송파구,20230814,44,30
송파구,20230813,31,18
송파구,20230812,21,11
송파구,20230811,19,10
송파구,20230810,6,2
송파구,20230809,10,4
송파구,20230808,10,3
송파구,20230807,14,6
송파구,20230806,23,14
송파구,20230805,26,15
송파구,20230804,26,14
송파구,20230803,25,15
송파구,20230802,40,30
송파구,20230801,35,25
송파구,20230731,33,23
송파구,20230730,18,11
송파구,20230729,36,26
송파구,20230728,36,24
송파구,20230727,23,12
송파구,20230726,15,7
송파구,20230725,20,11
송파구,20230724,23,13
송파구,20230723,10,4
송파구,20230722,36,22
송파구,20230721,65,48
송파구,20230720,62,42
송파구,20230719,30,14
송파구,20230718,10,4
송파구,20230717,31,16
송파구,20230716,32,15
송파구,20230715,15,7
송파구,20230714,13,7
송파구,20230713,25,15
송파구,20230712,25,15
송파구,20230711,20,9
송파구,20230710,33,18
송파구,20230709,15,8
송파구,20230708,14,7
송파구,20230707,48,21
송파구,20230706,46,26
송파구,20230705,26,13
송파구,20230704,38,26
송파구,20230703,37,22
송파구,20230702,23,15
송파구,20230701,33,20
송파구,20230630,32,24
송파구,20230629,30,18
송파구,20230628,28,18
송파구,20230627,20,10
송파구,20230626,17,9
송파구,20230625,34,25
송파구,20230624,40,27
송파구,20230623,34,22
송파구,20230622,20,8
