측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
송파구,20220101,28,14
송파구,20220102,32,22
송파구,20220103,27,15
송파구,20220104,35,20
송파구,20220105,46,30
송파구,20220106,52,34
송파구,20220107,64,43
송파구,20220108,50,36
송파구,20220109,113,90
송파구,20220110,89,73
송파구,20220111,33,20
송파구,20220112,30,16
송파구,20220113,35,12
송파구,20220114,33,14
송파구,20220115,43,25
송파구,20220116,45,26
송파구,20220117,26,13
송파구,20220118,39,19
송파구,20220119,42,29
송파구,20220120,40,31
송파구,20220121,37,27
송파구,20220122,43,31
송파구,20220123,62,46
송파구,20220124,23,17
송파구,20220125,26,20
송파구,20220126,57,44
송파구,20220127,61,42
송파구,20220128,38,22
송파구,20220129,30,16
송파구,20220130,35,19
송파구,20220131,31,20
송파구,20220201,43,35
송파구,20220202,33,23
송파구,20220203,25,14
송파구,20220204,23,12
송파구,20220205,30,9
송파구,20220206,24,10
송파구,20220207,28,15
송파구,20220208,31,19
송파구,20220209,38,24
송파구,20220210,46,30
송파구,20220211,79,58
송파구,20220212,86,63
송파구,20220213,56,39
송파구,20220214,41,29
송파구,20220215,37,24
송파구,20220216,29,19
송파구,20220217,31,18
송파구,20220218,42,25
송파구,20220219,42,26
송파구,20220220,31,15
송파구,20220221,28,13
송파구,20220222,31,14
송파구,20220223,27,11
송파구,20220224,30,15
송파구,20220225,61,40
송파구,20220226,63,37
송파구,20220227,46,23
송파구,20220228,38,14
송파구,20220301,37,21
송파구,20220302,28,13
송파구,20220303,47,21
송파구,20220304,82,31
송파구,20220305,93,14
송파구,20220306,43,8
송파구,20220307,37,14
송파구,20220308,50,21
송파구,20220309,72,37
송파구,20220310,69,36
송파구,20220311,64,32
송파구,20220312,69,36
송파구,20220313,16,9
송파구,20220314,15,7
송파구,20220315,37,24
송파구,20220316,70,36
송파구,20220317,51,22
송파구,20220318,8,2
송파구,20220319,7,3
송파구,20220320,19,12
송파구,20220321,29,15
송파구,20220322,34,21
송파구,20220323,35,20
송파구,20220324,41,25
송파구,20220325,65,42
송파구,20220326,11,5
송파구,20220327,34,15
송파구,20220328,29,13
송파구,20220329,42,17
송파구,20220330,37,16
송파구,20220331,24,11
송파구,20220401,17,7
송파구,20220402,32,17
송파구,20220403,43,26
송파구,20220404,53,34
송파구,20220405,44,26
송파구,20220406,49,23
송파구,20220407,37,10
송파구,20220408,43,18
송파구,20220409,55,27
송파구,20220410,48,26
송파구,20220411,40,21
송파구,20220412,33,19
송파구,20220413,14,7
송파구,20220414,14,5
송파구,20220415,23,10
송파구,20220416,36,19
송파구,20220417,48,26
송파구,20220418,57,32
송파구,20220419,59,35
송파구,20220420,66,43
송파구,20220421,55,30
송파구,20220422,46,24
송파구,20220423,54,34
송파구,20220424,57,31
송파구,20220425,50,32
송파구,20220426,45,22
송파구,20220427,141,16
송파구,20220428,81,16
송파구,20220429,11,3
송파구,20220430,15,6
송파구,20220501,45,18
송파구,20220502,45,20
송파구,20220503,40,21
송파구,20220504,42,21
송파구,20220505,34,17
송파구,20220506,38,19
송파구,20220507,30,13
송파구,20220508,19,7
송파구,20220509,16,6
송파구,20220510,26,12
송파구,20220511,33,18
송파구,20220512,34,17
송파구,20220513,32,15
송파구,20220514,37,11
송파구,20220515,26,10
송파구,20220516,34,13
송파구,20220517,53,26
송파구,20220518,61,34
송파구,20220519,45,21
송파구,20220520,38,23
송파구,20220521,37,20
송파구,20220522,41,24
송파구,20220523,66,38
송파구,20220524,34,18
송파구,20220525,27,13
송파구,20220526,25,8
송파구,20220527,28,10
송파구,20220528,34,19
송파구,20220529,31,20
송파구,20220530,33,21
송파구,20220531,27,8
송파구,20220601,25,10
송파구,20220602,32,15
송파구,20220603,41,24
송파구,20220604,38,20
송파구,20220605,26,16
송파구,20220606,8,4
송파구,20220607,7,3
송파구,20220608,15,8
송파구,20220609,28,16
송파구,20220610,30,18
송파구,20220611,26,15
송파구,20220612,21,14
송파구,20220613,27,16
송파구,20220614,15,5
송파구,20220615,11,7
송파구,20220616,19,8
송파구,20220617,35,23
송파구,20220618,25,15
송파구,20220619,26,15
송파구,20220620,28,15
송파구,20220621,34,17
송파구,20220622,31,16
송파구,20220623,34,18
송파구,20220624,21,14
송파구,20220625,47,35
송파구,20220626,22,12
송파구,20220627,13,6
송파구,20220628,17,6
송파구,20220629,15,7
송파구,20220630,7,4
송파구,20220701,18,7
송파구,20220702,28,14
송파구,20220703,41,29
송파구,20220704,43,31
송파구,20220705,35,23
송파구,20220706,33,21
송파구,20220707,26,11
송파구,20220708,26,17
송파구,20220709,25,15
송파구,20220710,43,31
송파구,20220711,26,17
송파구,20220712,14,5
송파구,20220713,18,10
송파구,20220714,18,9
송파구,20220715,25,14
송파구,20220716,33,22
송파구,20220717,19,16
송파구,20220718,28,16
송파구,20220719,36,24
송파구,20220720,38,23
송파구,20220721,21,9
송파구,20220722,31,13
송파구,20220723,,
송파구,20220724,25,19
송파구,20220725,21,11
송파구,20220726,35,23
송파구,20220727,35,24
송파구,20220728,25,17
송파구,20220729,25,17
송파구,20220730,18,11
송파구,20220731,13,7
송파구,20220801,17,10
송파구,20220802,12,6
송파구,20220803,25,18
송파구,20220804,20,12
송파구,20220805,21,11
송파구,20220806,38,24
송파구,20220807,32,18
송파구,20220808,24,13
송파구,20220809,11,2
송파구,20220810,11,5
송파구,20220811,12,7
송파구,20220812,29,15
송파구,20220813,32,18
송파구,20220814,23,15
송파구,20220815,26,12
송파구,20220816,25,12
송파구,20220817,25,13
송파구,20220818,26,15
송파구,20220819,25,13
송파구,20220820,30,18
송파구,20220821,26,16
송파구,20220822,28,16
송파구,20220823,19,7
송파구,20220824,17,6
송파구,20220825,21,7
송파구,20220826,33,16
송파구,20220827,22,9
송파구,20220828,17,6
송파구,20220829,13,6
송파구,20220830,8,3
송파구,20220831,11,3
송파구,20220901,20,9
송파구,20220902,18,8
송파구,20220903,14,6
송파구,20220904,11,6
송파구,20220905,5,4
송파구,20220906,14,8
송파구,20220907,29,13
송파구,20220908,28,14
송파구,20220909,20,11
송파구,20220910,11,7
송파구,20220911,21,12
송파구,20220912,21,12
송파구,20220913,23,13
송파구,20220914,19,9
송파구,20220915,22,10
송파구,20220916,24,10
송파구,20220917,24,14
송파구,20220918,24,13
송파구,20220919,18,7
송파구,20220920,27,8
송파구,20220921,28,10
송파구,20220922,20,10
송파구,20220923,26,12
송파구,20220924,21,9
송파구,20220925,25,12
송파구,20220926,27,13
송파구,20220927,27,13
송파구,20220928,28,14
송파구,20220929,53,33
송파구,20220930,50,31
송파구,20221001,55,34
송파구,20221002,35,23
송파구,20221003,18,12
송파구,20221004,18,8
송파구,20221005,18,10
송파구,20221006,9,4
송파구,20221007,10,6
송파구,20221008,10,6
송파구,20221009,11,7
송파구,20221010,11,6
송파구,20221011,19,11
송파구,20221012,22,13
송파구,20221013,22,11
송파구,20221014,27,12
송파구,20221015,32,18
송파구,20221016,36,22
송파구,20221017,30,12
송파구,20221018,25,11
송파구,20221019,26,13
송파구,20221020,35,17
송파구,20221021,48,26
송파구,20221022,44,26
송파구,20221023,39,20
송파구,20221024,29,11
송파구,20221025,16,8
송파구,20221026,19,9
송파구,20221027,36,17
송파구,20221028,41,21
송파구,20221029,31,16
송파구,20221030,28,17
송파구,20221031,26,14
송파구,20221101,55,29
송파구,20221102,38,15
송파구,20221103,35,15
송파구,20221104,27,10
송파구,20221105,29,13
송파구,20221106,27,14
송파구,20221107,33,16
송파구,20221108,46,24
송파구,20221109,67,37
송파구,20221110,85,50
송파구,20221111,62,37
송파구,20221112,51,31
송파구,20221113,20,13
송파구,20221114,22,14
송파구,20221115,28,15
송파구,20221116,33,19
송파구,20221117,39,21
송파구,20221118,45,25
송파구,20221119,37,21
송파구,20221120,32,18
송파구,20221121,40,24
송파구,20221122,50,31
송파구,20221123,41,25
송파구,20221124,50,28
송파구,20221125,57,33
송파구,20221126,59,18
송파구,20221127,23,10
송파구,20221128,28,13
송파구,20221129,23,11
송파구,20221130,25,7
송파구,20221201,23,10
송파구,20221202,21,10
송파구,20221203,33,20
송파구,20221204,20,8
송파구,20221205,22,10
송파구,20221206,27,14
송파구,20221207,33,14
송파구,20221208,29,10
송파구,20221209,45,28
송파구,20221210,43,28
송파구,20221211,46,29
송파구,20221212,34,22
송파구,20221213,190,43
송파구,20221214,51,13
송파구,20221215,33,20
송파구,20221216,33,19
송파구,20221217,29,14
송파구,20221218,22,10
송파구,20221219,23,13
송파구,20221220,34,23
송파구,20221221,38,27
송파구,20221222,32,18
송파구,20221223,22,12
송파구,20221224,29,20
송파구,20221225,40,30
송파구,20221226,50,38
송파구,20221227,49,37
송파구,20221228,35,23
송파구,20221229,33,20
송파구,20221230,37,26
송파구,20221231,46,35
