대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥),이용건수
2022-01-01,1,-4.3,1.5,20,0,28,14,2595
2022-01-02,1,-1.3,2.3,290,0.0017,32,22,2317
2022-01-03,0,-1.9,1.8,250,0,27,15,4199
2022-01-04,0,-2.5,2.4,250,0,35,20,4544
2022-01-05,0,-2.8,1.7,50,0,46,30,4654
2022-01-06,0,-2.2,2.3,290,0,52,34,5003
2022-01-07,0,-1.6,1.5,250,0,64,43,5027
2022-01-08,1,0.3,1.7,200,0,50,36,3889
2022-01-09,1,1.3,1.7,270,0,113,90,3350
2022-01-10,0,0.5,2,250,0.0051,89,73,4923
2022-01-11,0,-7.4,4,290,0.0011,33,20,3321
2022-01-12,0,-7.7,2.4,290,0,30,16,3722
2022-01-13,0,-6.4,3.3,270,0,35,12,3579
2022-01-14,0,-4.8,1.7,180,0,33,14,4326
2022-01-15,1,-1,1.9,50,0,43,25,3618
2022-01-16,1,-2,3.3,250,0,45,26,2814
2022-01-17,0,-5.8,2.2,270,0.0028,26,13,3178
2022-01-18,0,-5.6,2.3,290,0,39,19,3894
2022-01-19,0,-5.3,2.1,320,0.0096,42,29,2197
2022-01-20,0,-5,1.8,320,0,40,31,3205
2022-01-21,0,-2.7,1.8,50,0,37,27,4094
2022-01-22,1,0.3,1.7,290,0,43,31,3700
2022-01-23,1,2,1.7,250,0,62,46,3681
2022-01-24,0,4.6,3.5,70,0,23,17,5393
2022-01-25,0,2.8,2.3,270,0.004,26,20,3806
2022-01-26,0,1.3,2.2,320,0,57,44,5149
2022-01-27,0,-1.1,2.1,290,0,61,42,4820
2022-01-28,0,-2.7,2.8,290,0,38,22,4613
2022-01-29,1,-3.6,2.4,320,0,30,16,3336
2022-01-30,1,-2.8,2.2,270,0,35,19,2825
2022-01-31,1,-0.7,1.9,250,0.0068,31,20,2552
2022-02-01,1,-1.3,2.6,270,0.0096,43,35,1337
2022-02-02,1,-3.4,2.4,250,0,33,23,2610
2022-02-03,0,-3.4,2.4,270,0,25,14,3967
2022-02-04,0,-5.2,3.1,290,0,23,12,3779
2022-02-05,1,-6.6,3.1,270,0,30,9,2687
2022-02-06,1,-3.9,2.5,290,0,24,10,2670
2022-02-07,0,-2.5,1.8,290,0,28,15,4341
2022-02-08,0,-0.1,1.9,290,0,31,19,4851
2022-02-09,0,1,1.8,290,0,38,24,5193
2022-02-10,0,1.4,2.3,320,0,46,30,5609
2022-02-11,0,2.9,1.8,250,0,79,58,5614
2022-02-12,1,4.8,1.7,270,0,86,63,5277
2022-02-13,1,4.8,1.8,320,0,56,39,4545
2022-02-14,0,2.5,2.9,270,0.0096,41,29,3989
2022-02-15,0,-4.7,3.8,270,0,37,24,4056
2022-02-16,0,-7.3,3.7,270,0,29,19,3525
2022-02-17,0,-6.2,2.5,290,0,31,18,3944
