"대여일자","이용건수_합계"
2022-01-01,2595
2022-01-02,2317
2022-01-03,4199
2022-01-04,4544
2022-01-05,4654
2022-01-06,5003
2022-01-07,5027
2022-01-08,3889
2022-01-09,3350
2022-01-10,4923
2022-01-11,3321
2022-01-12,3722
2022-01-13,3579
2022-01-14,4326
2022-01-15,3618
2022-01-16,2814
2022-01-17,3178
2022-01-18,3894
2022-01-19,2197
2022-01-20,3205
2022-01-21,4094
2022-01-22,3700
2022-01-23,3681
2022-01-24,5393
2022-01-25,3806
2022-01-26,5149
2022-01-27,4820
2022-01-28,4613
2022-01-29,3336
2022-01-30,2825
2022-01-31,2552
2022-02-01,1337
2022-02-02,2610
2022-02-03,3967
2022-02-04,3779
2022-02-05,2687
2022-02-06,2670
2022-02-07,4341
2022-02-08,4851
2022-02-09,5193
2022-02-10,5609
2022-02-11,5614
2022-02-12,5277
2022-02-13,4545
2022-02-14,3989
2022-02-15,4056
2022-02-16,3525
2022-02-17,3944
2022-02-18,4811
2022-02-19,3749
2022-02-20,2593
2022-02-21,4055
2022-02-22,4031
2022-02-23,3932
2022-02-24,4450
2022-02-25,5219
2022-02-26,3362
2022-02-27,4738
2022-02-28,6107
2022-03-01,4531
2022-03-02,5751
2022-03-03,6389
2022-03-04,6045
2022-03-05,4971
2022-03-06,4869
2022-03-07,6039
2022-03-08,6781
2022-03-09,7872
2022-03-10,7406
2022-03-11,8147
2022-03-12,7332
2022-03-13,3222
2022-03-14,3958
2022-03-15,7589
2022-03-16,8151
2022-03-17,6186
2022-03-18,6555
2022-03-19,2823
2022-03-20,5646
2022-03-21,6962
2022-03-22,8018
2022-03-23,7189
2022-03-24,7660
2022-03-25,6933
2022-03-26,5480
2022-03-27,7942
2022-03-28,8918
2022-03-29,9494
2022-03-30,7807
2022-03-31,9397
2022-04-01,10384
2022-04-02,10142
2022-04-03,11015
2022-04-04,10356
2022-04-05,10736
2022-04-06,11537
2022-04-07,11373
2022-04-08,13396
2022-04-09,15153
2022-04-10,15429
2022-04-11,13688
2022-04-12,11123
2022-04-13,6252
2022-04-14,10249
2022-04-15,12408
2022-04-16,12348
2022-04-17,12412
2022-04-18,12133
