조사년월일,측정지역,일일강수량
20230831,영등포구,0
20230830,영등포구,0.006
20230829,영등포구,0.272
20230828,영등포구,0.066
20230827,영등포구,0
20230826,영등포구,0
20230825,영등포구,0
20230824,영등포구,0.082
20230823,영등포구,0.234
20230822,영등포구,0.114
20230820,영등포구,0
20230819,영등포구,0
20230818,영등포구,0
20230817,영등포구,0
20230816,영등포구,0
20230815,영등포구,0
20230814,영등포구,0
20230813,영등포구,0
20230812,영등포구,0.003
20230811,영등포구,0.263
20230810,영등포구,0.585
20230809,영등포구,0
20230808,영등포구,0
20230807,영등포구,0.006
20230806,영등포구,0.003
20230805,영등포구,0
20230804,영등포구,0
20230803,영등포구,0
20230802,영등포구,0
20230801,영등포구,0
20230731,영등포구,0.028
20230730,영등포구,0.551
20230729,영등포구,0
20230728,영등포구,0
20230727,영등포구,0
20230726,영등포구,0.003
20230725,영등포구,0.038
20230724,영등포구,0
20230723,영등포구,0.25
20230722,영등포구,0.051
20230721,영등포구,0
20230720,영등포구,0
20230719,영등포구,0
20230718,영등포구,0.025
20230717,영등포구,0.003
20230716,영등포구,0.038
20230715,영등포구,0.022
20230714,영등포구,0.37
20230713,영등포구,0.627
20230712,영등포구,0
20230711,영등포구,0.421
20230710,영등포구,0.076
20230709,영등포구,0.266
20230708,영등포구,0
20230707,영등포구,0
20230706,영등포구,0
20230705,영등포구,0.092
20230704,영등포구,0.38
20230703,영등포구,0
20230702,영등포구,0
20230701,영등포구,0
20230630,영등포구,0.003
20230629,영등포구,0.427
20230628,영등포구,0
20230627,영등포구,0.006
20230626,영등포구,0.171
20230625,영등포구,0
20230624,영등포구,0
20230623,영등포구,0
20230622,영등포구,0
20230621,영등포구,0.146
20230620,영등포구,0.054
20230619,영등포구,0
20230618,영등포구,0
20230617,영등포구,0
20230616,영등포구,0
20230615,영등포구,0
20230614,영등포구,0.035
20230613,영등포구,0
20230612,영등포구,0
20230611,영등포구,0.076
20230610,영등포구,0.006
20230608,영등포구,0.009
20230607,영등포구,0
20230606,영등포구,0
20230605,영등포구,0
20230604,영등포구,0
20230603,영등포구,0
20230602,영등포구,0
20230601,영등포구,0
20230531,영등포구,0
20230530,영등포구,0
20230529,영등포구,0.019
20230528,영등포구,0.275
20230527,영등포구,0.171
20230526,영등포구,0.003
20230525,영등포구,0
20230524,영등포구,0
20230523,영등포구,0
20230522,영등포구,0
20230521,영등포구,0
20230520,영등포구,0
20230519,영등포구,0
20230518,영등포구,0
20230517,영등포구,0
20230516,영등포구,0
20230515,영등포구,0
20230514,영등포구,0
20230513,영등포구,0
20230512,영등포구,0
20230511,영등포구,0
20230510,영등포구,0
20230509,영등포구,0
20230508,영등포구,0
20230507,영등포구,0
20230506,영등포구,0.294
20230505,영등포구,0.158
20230504,영등포구,0
20230503,영등포구,0
20230502,영등포구,0
20230501,영등포구,0
20230430,영등포구,0.003
20230429,영등포구,0.142
20230428,영등포구,0.013
20230427,영등포구,0
20230426,영등포구,0
20230425,영등포구,0
20230424,영등포구,0
20230423,영등포구,0
20230422,영등포구,0
20230421,영등포구,0
20230420,영등포구,0
20230419,영등포구,0
20230418,영등포구,0.009
20230417,영등포구,0
20230416,영등포구,0
20230415,영등포구,0.019
20230414,영등포구,0
20230413,영등포구,0
20230412,영등포구,0
20230411,영등포구,0.006
20230410,영등포구,0
20230409,영등포구,0
20230408,영등포구,0
20230407,영등포구,0
20230406,영등포구,0.016
20230405,영등포구,0.237
20230404,영등포구,0.038
20230403,영등포구,0
20230402,영등포구,0
20230401,영등포구,0
20230331,영등포구,0
20230330,영등포구,0
20230329,영등포구,0
20230328,영등포구,0
20230327,영등포구,0
20230326,영등포구,0
20230325,영등포구,0
20230324,영등포구,0
20230323,영등포구,0
20230322,영등포구,0
20230321,영등포구,0
20230320,영등포구,0
20230319,영등포구,0
20230318,영등포구,0
20230317,영등포구,0
20230316,영등포구,0
20230315,영등포구,0
20230314,영등포구,0
20230313,영등포구,0
20230312,영등포구,0.035
20230311,영등포구,0
20230310,영등포구,0
20230309,영등포구,0.025
20230308,영등포구,0.009
20230307,영등포구,0
20230306,영등포구,0
20230305,영등포구,0
20230304,영등포구,0
20230303,영등포구,0
20230302,영등포구,0
20230301,영등포구,0
20230228,영등포구,0
20230227,영등포구,0
20230226,영등포구,0
20230225,영등포구,0
20230224,영등포구,0
20230223,영등포구,0
20230222,영등포구,0
20230221,영등포구,0
20230220,영등포구,0
20230219,영등포구,0.006
20230218,영등포구,0
20230217,영등포구,0
20230216,영등포구,0
20230215,영등포구,0
20230214,영등포구,0
20230213,영등포구,0
20230212,영등포구,0
20230211,영등포구,0
20230210,영등포구,0.006
20230209,영등포구,0
20230208,영등포구,0
