측정소명,측정일시,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
영등포구,20231115,40,29
영등포구,20231114,24,15
영등포구,20231113,21,14
영등포구,20231112,17,10
영등포구,20231111,18,11
영등포구,20231110,16,9
영등포구,20231109,29,18
영등포구,20231108,24,14
영등포구,20231107,18,7
영등포구,20231106,21,7
영등포구,20231105,15,10
영등포구,20231104,54,24
영등포구,20231103,27,14
영등포구,20231102,34,18
영등포구,20231101,38,22
영등포구,20231031,40,28
영등포구,20231030,38,26
영등포구,20231029,28,18
영등포구,20231028,34,20
영등포구,20231027,32,18
영등포구,20231026,44,34
영등포구,20231025,31,23
영등포구,20231024,31,21
영등포구,20231023,27,16
영등포구,20231022,22,11
영등포구,20231021,17,8
영등포구,20231020,18,7
영등포구,20231019,29,21
영등포구,20231018,31,17
영등포구,20231017,31,14
영등포구,20231016,40,19
영등포구,20231015,22,16
영등포구,20231014,27,19
영등포구,20231013,33,22
영등포구,20231012,27,19
영등포구,20231011,25,15
영등포구,20231010,22,14
영등포구,20231009,13,7
영등포구,20231008,14,8
영등포구,20231007,23,12
영등포구,20231006,22,10
영등포구,20231005,30,8
영등포구,20231004,22,14
영등포구,20231003,21,13
영등포구,20231002,17,8
영등포구,20231001,25,8
영등포구,20230930,23,11
영등포구,20230929,37,25
영등포구,20230928,42,31
영등포구,20230927,9,4
영등포구,20230926,14,14
영등포구,20230925,10,3
영등포구,20230924,13,6
영등포구,20230923,21,13
영등포구,20230922,20,10
영등포구,20230921,11,4
영등포구,20230920,23,18
영등포구,20230919,23,15
영등포구,20230918,16,11
영등포구,20230917,15,11
영등포구,20230916,15,8
영등포구,20230915,13,6
영등포구,20230914,11,5
영등포구,20230913,25,17
영등포구,20230912,28,18
영등포구,20230911,28,18
영등포구,20230910,33,22
영등포구,20230909,30,18
영등포구,20230908,17,9
영등포구,20230907,19,11
영등포구,20230906,21,13
영등포구,20230905,17,10
영등포구,20230904,18,11
영등포구,20230903,22,13
영등포구,20230902,30,19
영등포구,20230901,25,14
영등포구,20230831,18,10
영등포구,20230830,19,9
영등포구,20230829,13,7
영등포구,20230828,17,11
영등포구,20230827,31,21
영등포구,20230826,39,24
영등포구,20230825,17,9
영등포구,20230824,9,4
영등포구,20230823,11,6
영등포구,20230822,22,15
영등포구,20230821,26,17
영등포구,20230820,24,17
영등포구,20230819,23,16
영등포구,20230818,35,28
영등포구,20230817,24,17
영등포구,20230816,22,12
영등포구,20230815,26,17
영등포구,20230814,41,31
영등포구,20230813,27,19
영등포구,20230812,21,12
영등포구,20230811,17,10
영등포구,20230810,5,2
영등포구,20230809,10,5
영등포구,20230808,11,5
영등포구,20230807,14,9
영등포구,20230806,23,18
영등포구,20230805,20,14
영등포구,20230804,21,14
영등포구,20230803,24,16
영등포구,20230802,35,27
영등포구,20230801,32,26
영등포구,20230731,29,23
영등포구,20230730,16,10
영등포구,20230729,29,24
영등포구,20230728,30,24
영등포구,20230727,20,13
영등포구,20230726,12,6
영등포구,20230725,18,11
영등포구,20230724,18,13
영등포구,20230723,10,5
영등포구,20230722,33,25
영등포구,20230721,62,47
영등포구,20230720,50,39
영등포구,20230719,27,18
영등포구,20230718,19,10
영등포구,20230717,22,11
영등포구,20230716,29,14
영등포구,20230715,20,10
영등포구,20230714,15,7
영등포구,20230713,24,16
영등포구,20230712,23,14
영등포구,20230711,21,11
영등포구,20230710,34,21
영등포구,20230709,17,8
영등포구,20230708,15,5
영등포구,20230707,41,21
영등포구,20230706,42,23
영등포구,20230705,26,12
영등포구,20230704,33,24
영등포구,20230703,28,18
영등포구,20230702,17,10
영등포구,20230701,23,14
영등포구,20230630,35,22
영등포구,20230629,31,19
영등포구,20230628,29,18
영등포구,20230627,19,7
영등포구,20230626,17,8
영등포구,20230625,29,20
영등포구,20230624,37,24
영등포구,20230623,35,24
영등포구,20230622,18,8
영등포구,20230621,12,3
영등포구,20230620,33,20
영등포구,20230619,42,27
영등포구,20230618,25,13
영등포구,20230617,21,11
영등포구,20230616,22,12
영등포구,20230615,30,19
영등포구,20230614,28,17
영등포구,20230613,23,13
영등포구,20230612,28,16
영등포구,20230611,20,12
영등포구,20230610,34,19
영등포구,20230609,25,13
영등포구,20230608,17,8
영등포구,20230607,30,17
영등포구,20230606,18,8
영등포구,20230605,26,13
영등포구,20230604,32,16
영등포구,20230603,30,12
영등포구,20230602,28,16
영등포구,20230601,36,20
영등포구,20230531,26,10
영등포구,20230530,45,23
영등포구,20230529,13,4
영등포구,20230528,10,3
영등포구,20230527,32,15
영등포구,20230526,29,11
영등포구,20230525,29,10
영등포구,20230524,34,14
영등포구,20230523,62,13
영등포구,20230522,113,22
영등포구,20230521,60,16
영등포구,20230520,22,11
영등포구,20230519,23,10
영등포구,20230518,33,17
영등포구,20230517,31,11
영등포구,20230516,53,28
영등포구,20230515,34,17
영등포구,20230514,25,12
영등포구,20230513,40,24
영등포구,20230512,47,25
영등포구,20230511,45,22
영등포구,20230510,55,31
영등포구,20230509,45,24
영등포구,20230508,33,20
영등포구,20230507,33,24
영등포구,20230506,12,5
영등포구,20230505,12,3
영등포구,20230504,42,21
영등포구,20230503,39,16
영등포구,20230502,31,10
영등포구,20230501,38,13
영등포구,20230430,32,9
영등포구,20230429,25,9
영등포구,20230428,32,13
영등포구,20230427,33,17
영등포구,20230426,25,10
영등포구,20230425,33,13
영등포구,20230424,45,13
영등포구,20230423,49,12
영등포구,20230422,51,9
영등포구,20230421,47,11
영등포구,20230420,20,9
영등포구,20230419,33,15
영등포구,20230418,44,16
영등포구,20230417,89,23
영등포구,20230416,93,26
영등포구,20230415,54,18
영등포구,20230414,81,13
영등포구,20230413,170,20
영등포구,20230412,223,22
영등포구,20230411,40,12
영등포구,20230410,42,13
영등포구,20230409,55,12
영등포구,20230408,33,4
영등포구,20230407,63,33
영등포구,20230406,54,47
영등포구,20230405,19,9
영등포구,20230404,34,19
영등포구,20230403,48,32
영등포구,20230402,52,32
영등포구,20230401,92,54
영등포구,20230331,95,48
영등포구,20230330,86,46
영등포구,20230329,73,41
영등포구,20230328,56,24
영등포구,20230327,42,18
영등포구,20230326,52,13
영등포구,20230325,86,22
영등포구,20230324,118,20
영등포구,20230323,89,24
영등포구,20230322,69,39
영등포구,20230321,61,37
영등포구,20230320,90,70
영등포구,20230319,89,59
영등포구,20230318,53,25
영등포구,20230317,37,12
영등포구,20230316,53,9
영등포구,20230315,39,10
영등포구,20230314,37,7
영등포구,20230313,28,6
영등포구,20230312,51,26
영등포구,20230311,94,58
영등포구,20230310,79,50
영등포구,20230309,56,40
영등포구,20230308,56,28
영등포구,20230307,56,28
영등포구,20230306,53,31
영등포구,20230305,64,43
영등포구,20230304,66,40
영등포구,20230303,32,10
영등포구,20230302,47,9
영등포구,20230301,33,18
영등포구,20230228,37,24
영등포구,20230227,46,29
영등포구,20230226,32,17
영등포구,20230225,34,16
영등포구,20230224,49,29
영등포구,20230223,36,21
영등포구,20230222,39,24
영등포구,20230221,29,13
영등포구,20230220,34,6
영등포구,20230219,46,33
영등포구,20230218,78,60
영등포구,20230217,40,27
영등포구,20230216,27,17
영등포구,20230215,17,8
영등포구,20230214,37,22
영등포구,20230213,36,25
영등포구,20230212,68,57
영등포구,20230211,44,33
영등포구,20230210,22,15
영등포구,20230209,40,26
영등포구,20230208,67,49
영등포구,20230207,76,59
영등포구,20230206,75,57
영등포구,20230205,63,48
영등포구,20230204,39,25
영등포구,20230203,38,17
영등포구,20230202,40,14
영등포구,20230201,57,32
영등포구,20230131,34,14
영등포구,20230130,40,15
영등포구,20230129,40,12
영등포구,20230128,32,10
영등포구,20230127,38,18
영등포구,20230126,34,20
영등포구,20230125,19,6
영등포구,20230124,27,9
영등포구,20230123,52,29
영등포구,20230122,27,12
영등포구,20230121,23,9
영등포구,20230120,61,16
영등포구,20230119,58,25
영등포구,20230118,54,26
영등포구,20230117,30,16
영등포구,20230116,19,10
영등포구,20230115,15,10
영등포구,20230114,17,9
영등포구,20230113,23,13
영등포구,20230112,75,55
영등포구,20230111,79,54
영등포구,20230110,58,33
영등포구,20230109,92,45
영등포구,20230108,131,66
영등포구,20230107,116,96
영등포구,20230106,82,68
영등포구,20230105,49,36
영등포구,20230104,37,23
영등포구,20230103,28,15
영등포구,20230102,23,10
영등포구,20230101,54,37
