측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
영등포구,20220101,26,14
영등포구,20220102,34,23
영등포구,20220103,27,17
영등포구,20220104,31,19
영등포구,20220105,48,30
영등포구,20220106,51,33
영등포구,20220107,58,41
영등포구,20220108,52,40
영등포구,20220109,109,92
영등포구,20220110,83,72
영등포구,20220111,29,19
영등포구,20220112,28,17
영등포구,20220113,31,13
영등포구,20220114,28,15
영등포구,20220115,43,27
영등포구,20220116,40,26
영등포구,20220117,24,14
영등포구,20220118,35,20
영등포구,20220119,43,32
영등포구,20220120,37,28
영등포구,20220121,37,27
영등포구,20220122,54,43
영등포구,20220123,62,47
영등포구,20220124,26,17
영등포구,20220125,29,19
영등포구,20220126,55,43
영등포구,20220127,58,44
영등포구,20220128,33,20
영등포구,20220129,28,17
영등포구,20220130,31,18
영등포구,20220131,29,20
영등포구,20220201,41,35
영등포구,20220202,29,23
영등포구,20220203,22,14
영등포구,20220204,22,13
영등포구,20220205,26,10
영등포구,20220206,22,11
영등포구,20220207,25,14
영등포구,20220208,27,18
영등포구,20220209,35,24
영등포구,20220210,47,34
영등포구,20220211,79,66
영등포구,20220212,85,71
영등포구,20220213,57,42
영등포구,20220214,41,32
영등포구,20220215,33,23
영등포구,20220216,27,20
영등포구,20220217,29,19
영등포구,20220218,41,28
영등포구,20220219,42,31
영등포구,20220220,28,14
영등포구,20220221,26,14
영등포구,20220222,29,15
영등포구,20220223,26,13
영등포구,20220224,27,16
영등포구,20220225,62,48
영등포구,20220226,64,45
영등포구,20220227,43,22
영등포구,20220228,39,17
영등포구,20220301,35,22
영등포구,20220302,27,14
영등포구,20220303,46,25
영등포구,20220304,76,35
영등포구,20220305,90,15
영등포구,20220306,38,8
영등포구,20220307,39,19
영등포구,20220308,45,23
영등포구,20220309,63,38
영등포구,20220310,71,48
영등포구,20220311,69,40
영등포구,20220312,67,42
영등포구,20220313,15,11
영등포구,20220314,17,11
영등포구,20220315,42,33
영등포구,20220316,62,40
영등포구,20220317,51,28
영등포구,20220318,10,4
영등포구,20220319,7,3
영등포구,20220320,23,17
영등포구,20220321,27,16
영등포구,20220322,35,25
영등포구,20220323,32,20
영등포구,20220324,40,27
영등포구,20220325,67,49
영등포구,20220326,10,6
영등포구,20220327,28,12
영등포구,20220328,29,13
영등포구,20220329,34,16
영등포구,20220330,34,16
영등포구,20220331,19,9
영등포구,20220401,15,8
영등포구,20220402,29,18
영등포구,20220403,42,29
영등포구,20220404,51,38
영등포구,20220405,40,27
영등포구,20220406,46,25
영등포구,20220407,31,10
영등포구,20220408,42,19
영등포구,20220409,44,21
영등포구,20220410,37,19
영등포구,20220411,34,18
영등포구,20220412,27,15
영등포구,20220413,17,8
영등포구,20220414,14,6
영등포구,20220415,19,8
영등포구,20220416,34,19
영등포구,20220417,48,28
영등포구,20220418,54,33
영등포구,20220419,60,37
영등포구,20220420,62,43
영등포구,20220421,46,27
영등포구,20220422,48,23
영등포구,20220423,53,35
영등포구,20220424,51,32
영등포구,20220425,51,33
영등포구,20220426,43,24
영등포구,20220427,128,19
영등포구,20220428,60,17
영등포구,20220429,13,4
영등포구,20220430,14,7
영등포구,20220501,32,12
영등포구,20220502,42,20
영등포구,20220503,33,19
영등포구,20220504,32,17
영등포구,20220505,32,16
영등포구,20220506,33,20
영등포구,20220507,26,13
영등포구,20220508,20,9
영등포구,20220509,16,7
영등포구,20220510,24,14
영등포구,20220511,26,14
영등포구,20220512,30,14
영등포구,20220513,29,14
영등포구,20220514,29,11
영등포구,20220515,21,9
영등포구,20220516,28,12
영등포구,20220517,44,26
영등포구,20220518,53,34
영등포구,20220519,40,21
영등포구,20220520,33,22
영등포구,20220521,30,20
영등포구,20220522,34,23
