대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2023-01-01,1,-0.2,3.5,270,0,54,37,2786
2023-01-02,0,-4.5,1.5,20,0,23,10,5031
2023-01-03,0,-5,2.3,290,0,28,15,5369
2023-01-04,0,-1.8,1.8,250,0,37,23,5963
2023-01-05,0,-1.6,2.4,250,0,49,36,6070
2023-01-06,0,0.6,1.7,50,0.025,82,68,5570
2023-01-07,1,1.5,2.3,290,0,116,96,3525
2023-01-08,1,1.3,1.5,250,0,131,66,3382
2023-01-09,0,3.1,1.7,200,0,92,45,6393
2023-01-10,0,1.6,1.7,270,0,58,33,7068
2023-01-11,0,2.6,2,250,0,79,54,7057
2023-01-12,0,5.9,4,290,0,75,55,7576
2023-01-13,0,8.3,2.4,290,0.206,23,13,1741
2023-01-14,1,6.6,3.3,270,0.013,17,9,2075
2023-01-15,1,-0.2,1.7,180,0.019,15,10,1537
2023-01-16,0,-4.6,1.9,50,0,19,10,5283
2023-01-17,0,-3.7,3.3,250,0,30,16,5783
2023-01-18,0,-1.9,2.2,270,0,54,26,6095
2023-01-19,0,-0.4,2.3,290,0.013,58,25,5745
2023-01-20,0,-3.3,2.1,320,0,61,16,3821
2023-01-21,1,-4.5,1.8,320,0,23,9,1889
2023-01-22,1,-0.6,1.8,50,0,27,12,1539
2023-01-23,1,-0.8,1.7,290,0,52,29,2220
2023-01-24,1,-14.7,1.7,250,0,27,9,1062
2023-01-25,0,-11.3,3.5,70,0,19,6,3216
2023-01-26,0,-6,2.3,270,0,34,20,1882
2023-01-27,0,-7.3,2.2,320,0,38,18,3213
2023-01-28,1,-6,2.1,290,0,32,10,2686
2023-01-29,1,-1.8,2.8,290,0,40,12,2987
2023-01-30,0,-0.9,2.4,320,0,40,15,5686
2023-01-31,0,2.4,2.2,270,0,34,14,6336
2023-02-01,0,0.9,1.9,250,0,57,32,6052
2023-02-02,0,-2.4,2.6,270,0,40,14,5944
2023-02-03,0,-1.6,2.4,250,0,38,17,6128
2023-02-04,1,-0.2,2.4,270,0,39,25,4266
2023-02-05,1,1.7,3.1,290,0,63,48,4327
2023-02-06,0,3,3.1,270,0,75,57,6890
2023-02-07,0,3.5,2.5,290,0,76,59,7343
2023-02-08,0,2.1,1.8,290,0,67,49,7481
2023-02-09,0,4,1.9,290,0,40,26,7711
2023-02-10,0,3.8,1.8,290,0.006,22,15,5336
2023-02-11,1,2.8,2.3,320,0,44,33,5416
2023-02-12,1,3.7,1.8,250,0,68,57,4663
2023-02-13,0,5.9,1.7,270,0,36,25,7806
2023-02-14,0,1.7,1.8,320,0,37,22,7482
2023-02-15,0,3.2,2.9,270,0,17,8,7906
2023-02-16,0,2.3,3.8,270,0,27,17,7310
2023-02-17,0,3.4,3.7,270,0,40,27,7925
2023-02-18,1,5.7,2.5,290,0,78,60,5469
2023-02-19,1,3.5,2,270,0.006,46,33,4380
2023-02-20,0,-0.5,2.9,290,0,34,6,6298
2023-02-21,0,-1.3,4.1,290,0,29,13,6644
2023-02-22,0,1.2,2.9,270,0,39,24,7412
2023-02-23,0,2.9,3.2,320,0,36,21,7732
2023-02-24,0,3.5,2.6,290,0,49,29,7469
2023-02-25,1,0.7,2.2,320,0,34,16,4798
2023-02-26,1,2.2,2.3,250,0,32,17,5203
2023-02-27,0,4.4,3.9,290,0,46,29,8242
2023-02-28,0,4.3,2.8,250,0,37,24,8372
2023-03-01,1,6,1.5,200,0,33,18,6035
2023-03-02,0,2.2,2.3,250,0,47,9,7524
2023-03-03,0,4.6,2.7,230,0,32,10,8698
2023-03-04,1,7.7,2.1,290,0,66,40,7492
2023-03-05,1,8,3.6,180,0,64,43,7735
2023-03-06,0,9.2,4.3,250,0,53,31,10190
2023-03-07,0,11.7,2.6,320,0,56,28,10937
2023-03-08,0,12.5,2,270,0.009,56,28,10253
2023-03-09,0,10.3,2,270,0.025,56,40,8270
2023-03-10,0,13.5,1.9,250,0,79,50,11258
2023-03-11,1,15.2,2.1,200,0,94,58,10857
2023-03-12,1,5.9,1.9,180,0.035,51,26,3110
2023-03-13,0,2.9,2.7,180,0,28,6,8536
2023-03-14,0,9.2,1.9,320,0,37,7,10390
