측정소명,측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
영등포구,20210101,23,15
영등포구,20210102,26,11
영등포구,20210103,30,12
영등포구,20210104,32,19
영등포구,20210105,25,14
영등포구,20210106,20,11
영등포구,20210107,23,9
영등포구,20210108,17,9
영등포구,20210109,21,13
영등포구,20210110,27,19
영등포구,20210111,43,32
영등포구,20210112,54,45
영등포구,20210113,88,40
영등포구,20210114,68,28
영등포구,20210115,64,30
영등포구,20210116,47,34
영등포구,20210117,18,12
영등포구,20210118,32,17
영등포구,20210119,25,11
영등포구,20210120,30,19
영등포구,20210121,46,33
영등포구,20210122,42,36
영등포구,20210123,14,10
영등포구,20210124,12,8
영등포구,20210125,28,19
영등포구,20210126,46,35
영등포구,20210127,34,17
영등포구,20210128,28,15
영등포구,20210129,19,8
영등포구,20210130,44,23
영등포구,20210131,51,28
영등포구,20210201,58,34
영등포구,20210202,27,15
영등포구,20210203,30,18
영등포구,20210204,22,14
영등포구,20210205,23,13
영등포구,20210206,59,39
영등포구,20210207,74,50
영등포구,20210208,23,14
영등포구,20210209,21,13
영등포구,20210210,30,21
영등포구,20210211,66,53
영등포구,20210212,86,72
영등포구,20210213,99,85
영등포구,20210214,90,76
영등포구,20210215,49,38
영등포구,20210216,20,11
영등포구,20210217,29,9
영등포구,20210218,35,12
영등포구,20210219,37,21
영등포구,20210220,64,37
영등포구,20210221,68,44
영등포구,20210222,46,24
영등포구,20210223,42,13
영등포구,20210224,43,19
영등포구,20210225,46,29
영등포구,20210226,38,23
영등포구,20210227,17,9
영등포구,20210228,22,12
영등포구,20210301,17,10
영등포구,20210302,8,4
영등포구,20210303,36,23
영등포구,20210304,41,27
영등포구,20210305,35,22
영등포구,20210306,28,18
영등포구,20210307,11,12
영등포구,20210308,46,27
영등포구,20210309,48,33
영등포구,20210310,92,75
영등포구,20210311,116,99
영등포구,20210312,68,54
영등포구,20210313,49,36
영등포구,20210314,74,63
영등포구,20210315,81,70
영등포구,20210316,81,15
영등포구,20210317,82,16
영등포구,20210318,90,42
영등포구,20210319,76,37
영등포구,20210320,28,14
영등포구,20210321,40,33
영등포구,20210322,33,15
영등포구,20210323,69,28
영등포구,20210324,50,23
영등포구,20210325,48,24
영등포구,20210326,105,76
영등포구,20210327,67,45
영등포구,20210328,16,12
영등포구,20210329,256,49
영등포구,20210330,139,30
영등포구,20210331,39,17
영등포구,20210401,41,14
영등포구,20210402,44,13
영등포구,20210403,33,14
영등포구,20210404,10,5
영등포구,20210405,20,10
