date_time,rain,wind_speed,humidity,avrage_temp,weekend,discomfort_index,wind_direction
2022.01.01,0,1.5,46.3,-4.3,1,34.2,20
2022.01.02,1,2.3,57.9,-1.3,1,36.2,290
2022.01.03,0,1.8,58.3,-1.9,0,35.3,250
2022.01.04,0,2.4,51.8,-2.5,0,35.6,250
2022.01.05,0,1.7,47.6,-2.8,0,35.9,50
2022.01.06,0,2.3,47.1,-2.2,0,36.8,290
2022.01.07,0,1.5,47.1,-1.6,0,37.5,250
2022.01.08,0,1.7,64.3,0.3,1,37.5,200
2022.01.09,0,1.7,71.5,1.3,1,38,270
2022.01.10,1,2,68.3,0.5,0,37.3,250
2022.01.11,1,4,55.5,-7.4,0,28.3,290
2022.01.12,0,2.4,47.8,-7.7,0,29.6,290
2022.01.13,0,3.3,45.8,-6.4,0,31.7,270
2022.01.14,0,1.7,41.8,-4.8,0,34.4,180
2022.01.15,0,1.9,48.3,-1,1,38.1,50
2022.01.16,0,3.3,54.5,-2,1,35.8,250
2022.01.17,1,2.2,59.9,-5.8,0,29.6,270
2022.01.18,0,2.3,47.9,-5.6,0,32.3,290
2022.01.19,1,2.1,72.3,-5.3,0,27.9,320
2022.01.20,0,1.8,63.5,-5,0,30,320
2022.01.21,0,1.8,55.6,-2.7,0,34.7,50
2022.01.22,0,1.7,52.4,0.3,1,39.2,290
2022.01.23,0,1.7,52.4,2,1,41.5,250
2022.01.24,0,3.5,56,4.6,0,44.6,70
2022.01.25,1,2.3,80,2.8,0,39.3,270
2022.01.26,0,2.2,62.8,1.3,0,39.2,320
2022.01.27,0,2.1,50,-1.1,0,37.7,290
2022.01.28,0,2.8,51.6,-2.7,0,35.4,290
2022.01.29,0,2.4,48.9,-3.6,1,34.6,320
2022.01.30,0,2.2,45.4,-2.8,1,36.3,270
2022.01.31,1,1.9,59,-0.7,1,36.9,250
2022.01.31,1,2.6,76.6,-1.3,1,33.3,270
2022.02.02,0,2.4,60.5,-3.4,1,32.9,250
2022.02.03,0,2.4,52.4,-3.4,0,34.3,270
2022.02.04,0,3.1,53.3,-5.2,0,31.7,290
2022.02.05,0,3.1,48.8,-6.6,1,30.8,270
2022.02.06,0,2.5,50.3,-3.9,1,34,290
2022.02.07,0,1.8,51.3,-2.5,0,35.7,290
2022.02.08,0,1.9,53.8,-0.1,0,38.5,290
2022.02.09,0,1.8,52.3,1,0,40.1,290
2022.02.10,0,2.3,57.8,1.4,0,40,320
2022.02.11,0,1.8,61.1,2.9,0,41.7,250
2022.02.12,0,1.7,50.4,4.8,1,45.4,270
2022.02.13,0,1.8,44.9,4.8,1,45.9,320
2022.02.14,1,2.9,68.3,2.5,0,40.2,270
2022.02.15,0,3.8,58,-4.7,0,31.5,270
2022.02.16,0,3.7,50.4,-7.3,0,29.5,270
2022.02.17,0,2.5,41.6,-6.2,0,32.8,290
2022.02.18,0,2,40.4,-1.2,0,39.1,270
2022.02.19,1,2.9,52.9,-1.7,1,36.5,290
2022.02.20,0,4.1,41.1,-4.8,1,34.6,290
2022.02.21,1,2.9,56.3,-3,0,34.1,270
2022.02.22,0,3.2,43.3,-4.5,0,34.5,320
2022.02.23,0,2.6,38.5,-5.6,0,34.1,290
2022.02.24,0,2.2,52.4,-2.4,0,35.6,320
2022.02.25,0,2.3,77.5,3,0,39.9,250
2022.02.26,1,3.9,78.4,5.4,1,43.7,290
2022.02.27,0,2.8,56.6,3.7,1,43.3,250
2022.02.28,0,1.5,62.3,6.8,0,47.1,200
2022.03.01,1,2.3,70.5,5.8,1,45,250
2022.03.02,0,2.7,55.9,3.5,0,43.1,230
2022.03.03,0,2.1,52.9,5.8,0,46.5,290
2022.03.04,0,3.6,60.5,6.9,0,47.4,180
2022.03.05,0,4.3,38.4,2.3,1,43.5,250
2022.03.06,0,2.6,39.5,1.4,1,42.3,320
2022.03.07,0,2,45.8,2.8,0,43.3,270
2022.03.08,0,2,56.1,6,0,46.5,270
2022.03.09,0,1.9,69.6,7.1,1,47,250
2022.03.10,0,2.1,51.4,9.3,0,51.2,200
2022.03.11,0,1.9,58.4,11.2,0,53.5,180
2022.03.12,1,2.7,72.1,12.8,1,55.5,180
2022.03.13,1,1.9,95.5,11.7,1,53.2,320
2022.03.14,1,3.2,90.3,8.2,0,47.4,250
2022.03.15,0,2,72.6,7.2,0,46.9,250
2022.03.16,0,2.1,62.6,10.3,0,52.1,290
2022.03.17,1,2.7,62,10.7,0,52.7,50
2022.03.18,0,4.4,60.8,7.5,0,48.2,50
2022.03.19,1,3,84.6,3.4,1,39.8,50
2022.03.20,0,2.6,66.1,5.4,1,44.8,230
2022.03.21,0,2.4,49.5,5,0,45.7,320
2022.03.22,0,2.2,48.9,7.1,0,48.5,270
2022.03.23,0,2.3,56.8,6.2,0,46.7,250
2022.03.24,0,1.8,70.6,8.2,0,48.6,200
2022.03.25,1,2.6,70,12,0,54.3,50
2022.03.26,1,2.9,80.9,11.8,1,53.7,230
2022.03.27,0,3,49.1,8.1,1,49.8,320
2022.03.28,0,2.1,35.6,8.2,0,50.7,270
2022.03.29,0,2.1,52.9,9.7,0,51.7,270
2022.03.30,1,1.8,76.5,10.8,0,52.3,50
2022.03.31,0,2.5,63.5,10.9,0,52.9,340
2022.04.01,0,2.6,50.5,9.2,0,51.1,270
2022.04.02,0,2.3,55,8.2,1,49.5,270
2022.04.03,0,2.1,55,9.6,1,51.4,270
2022.04.04,0,2.3,50.3,10.3,0,52.6,250
2022.04.05,0,2.4,41.1,10.3,0,53,200
2022.04.06,0,2.5,52.3,11.7,0,54.4,270
2022.04.07,0,3.3,43.5,10.9,0,53.6,200
2022.04.08,0,2.1,49,12.9,0,56,200
2022.04.09,1,3,43.8,17.8,1,62.2,200
2022.04.10,0,2,46,18.2,1,62.8,270
2022.04.11,0,2.4,60.4,19.6,0,65.3,230
2022.04.12,1,2.8,77.9,19.3,0,65.7,290
2022.04.13,1,4.4,69.3,13.1,0,56,50
2022.04.14,0,4,53.4,13.2,0,56.3,50
2022.04.15,0,3,46.8,13.3,0,56.5,290
2022.04.16,0,2.5,48.5,13.2,1,56.4,270
2022.04.17,0,2.3,53.8,14,1,57.4,270
2022.04.18,0,2.4,46.1,15.2,0,59,250
2022.04.19,0,2.4,51.9,15.2,0,59,250
2022.04.20,0,2.3,48.8,15.7,0,59.6,230
2022.04.21,0,2.8,48.4,16.3,0,60.4,200
2022.04.22,0,3.5,76.8,15,0,58.9,230
2022.04.23,0,1.7,57.3,17.7,1,62.5,110
2022.04.24,1,2.3,72.5,18.5,1,64.2,270
2022.04.25,1,1.4,80.5,20,0,66.9,110
2022.04.26,1,3.1,57.9,21.9,0,68.3,290
2022.04.27,0,2.7,31.5,17.7,0,61.7,320
2022.04.28,0,2.6,44,18.2,0,62.7,50
2022.04.29,1,3.4,70.6,13.4,0,56.4,50
2022.04.30,0,2.9,68,13,1,55.9,270
2022.05.01,0,3.1,54.8,13.4,1,56.6,230
2022.05.02,0,2.4,56.5,14.2,0,57.7,250
2022.05.03,0,2.5,45.9,14.8,0,58.4,180
2022.05.04,0,2.7,43.3,17.8,0,62.2,230
2022.05.05,0,2.2,48.1,18.9,1,63.7,270
2022.05.06,0,2.5,67.1,19.6,0,65.6,200
2022.05.07,1,3,52.4,18.4,1,63.3,290
2022.05.08,1,2.8,51.8,15.3,1,59.1,50
2022.05.09,0,2.2,56.4,17.9,0,62.7,110
2022.05.10,0,2.2,39,19.9,0,64.5,160
2022.05.11,0,2.4,50.4,19.7,0,64.9,230
2022.05.12,0,1.9,51.5,20.9,0,66.5,250
2022.05.13,0,2.2,45.8,19.4,0,64.3,290
2022.05.14,0,3.3,45.5,15.7,1,59.6,270
2022.05.15,0,3.2,39.8,16.2,1,60.1,270
2022.05.16,0,2.8,56.3,17.3,0,61.9,230
2022.05.17,0,2.4,60.1,20,0,65.8,180
2022.05.18,1,2.9,59.4,20,0,65.8,200
2022.05.19,0,3,53.6,19.9,0,65.3,180
2022.05.20,0,2.3,52.8,20.6,0,66.2,270
2022.05.21,0,2.5,70.8,20.1,1,66.5,270
2022.05.22,0,2.5,70.9,20.3,1,66.9,180
2022.05.23,0,2.3,63.5,23,0,70.3,250
2022.05.24,0,2.1,56.8,22.9,0,69.6,250
2022.05.25,1,2.6,66.6,21,0,67.6,270
2022.05.26,0,3.7,59.9,18.7,0,64,200
2022.05.27,0,3.3,62.5,20,0,65.9,270
2022.05.28,0,2.8,54.1,22.3,1,68.6,230
2022.05.29,0,2.3,66.4,23.1,1,70.7,270
2022.05.30,0,2.5,71,20.8,0,67.6,250
2022.05.31,0,2.5,42.4,20.7,0,65.7,230
2022.06.01,0,2.6,41.6,22.1,1,67.4,270
2022.06.02,0,2.7,67.4,21.5,0,68.4,270
2022.06.03,0,2,62.8,24.5,0,72.4,250
2022.06.04,0,1.7,57,25.6,1,73.3,180
2022.06.05,0,2.3,59.8,22.7,1,69.6,110
2022.06.06,1,3.2,69,19.7,1,65.8,50
2022.06.07,0,2.7,54.5,20.6,0,66.3,50
2022.06.08,0,2.3,61.6,21.2,0,67.6,270
2022.06.09,1,1.6,76.1,20.9,0,68.1,290
2022.06.10,1,1.9,75.8,20.9,0,68.1,290
2022.06.11,0,2.2,59.6,24.6,1,72.2,20
2022.06.12,0,2.5,58.9,24.6,1,72.1,250
2022.06.13,1,2.6,68.5,23.6,0,71.6,360
2022.06.14,0,4.2,56.4,21.5,0,67.7,50
2022.06.15,1,2.3,92.4,17.5,0,63.3,70
2022.06.16,1,2.3,78.4,20.3,0,67.3,200
2022.06.17,0,1.9,76.4,22.5,0,70.6,180
2022.06.18,0,1.7,79.6,23.3,1,72.2,290
2022.06.19,0,1.4,81.6,23.4,1,72.5,180
2022.06.20,0,1.3,76.6,25.2,0,74.9,270
2022.06.21,0,2,72.6,26.5,0,76.4,270
2022.06.22,0,2.1,71.1,25.9,0,75.3,290
2022.06.23,1,2.8,89.1,24.3,0,74.7,200
2022.06.24,1,3.5,90.9,22.6,0,71.9,230
2022.06.25,0,2.8,80.4,26,1,76.6,230
2022.06.26,0,2.6,82.1,26.5,1,77.6,180
2022.06.27,1,2.8,84.4,26.8,0,78.3,200
2022.06.28,1,5.8,81.9,26.9,0,78.2,200
2022.06.29,1,4.1,95.5,25.1,0,76.7,200
2022.06.30,1,2.3,99.3,22.3,0,72.1,50
2022.07.01,0,2.1,83.3,26.6,0,77.9,230
2022.07.02,0,1.7,72.8,28.8,1,80,270
2022.07.03,0,1.7,68.6,29.3,1,80.1,270
